rmsd, with cst, without cst, filename
154.822875977,1454.69457056,-30.81673,10/manual_0.pdb
0.0,-74.17745,-74.17745,10/manual_1.pdb
183.995361328,-30.93519,-30.93519,10/manual_2.pdb
164.875610352,-31.85183,-31.85183,10/manual_3.pdb
168.782318115,-33.62121,-33.62121,10/manual_4.pdb
173.799636841,-34.77458,-34.77458,10/manual_5.pdb
172.302581787,-31.51424,-31.51424,10/manual_6.pdb
196.968261719,-36.20407,-36.20407,10/manual_7.pdb
180.457015991,-34.14089,-34.14089,10/manual_8.pdb
169.610931396,-33.44897,-33.44897,10/manual_9.pdb
80.4811477661,319.255664852,-35.89112,11/manual_0.pdb
167.543029785,-32.8605,-32.8605,11/manual_1.pdb
168.409347534,-30.91566,-30.91566,11/manual_2.pdb
174.936218262,-36.06389,-36.06389,11/manual_3.pdb
184.216400146,-34.07054,-34.07054,11/manual_4.pdb
89.3590621948,-29.16721,-29.16721,11/manual_5.pdb
167.256362915,-35.75048,-35.75048,11/manual_6.pdb
194.909912109,-32.93795,-32.93795,11/manual_7.pdb
185.210708618,-31.69082,-31.69082,11/manual_8.pdb
0.0,-60.68074,-60.68074,11/manual_9.pdb
119.755210876,1046.56799824,-35.23075,12/manual_0.pdb
100.607315063,-35.03478,-35.03478,12/manual_1.pdb
154.57925415,-33.6407,-33.6407,12/manual_2.pdb
170.145370483,-32.94802,-32.94802,12/manual_3.pdb
148.679153442,-33.39061,-33.39061,12/manual_4.pdb
141.825668335,-33.21576,-33.21576,12/manual_5.pdb
0.0,-35.39899,-35.39899,12/manual_6.pdb
118.108818054,-34.85832,-34.85832,12/manual_7.pdb
137.384613037,-34.71404,-34.71404,12/manual_8.pdb
149.90675354,-34.00234,-34.00234,12/manual_9.pdb
18.0798816681,1268.16290162,-34.91519,13/manual_0.pdb
17.9182128906,-32.21794,-32.21794,13/manual_1.pdb
0.0,-36.97597,-36.97597,13/manual_2.pdb
34.9469604492,-31.31498,-31.31498,13/manual_3.pdb
16.4154529572,-33.55538,-33.55538,13/manual_4.pdb
34.1502571106,-29.72942,-29.72942,13/manual_5.pdb
37.1817512512,-34.33672,-34.33672,13/manual_6.pdb
31.886264801,-32.98033,-32.98033,13/manual_7.pdb
21.079864502,-32.83402,-32.83402,13/manual_8.pdb
33.3524627686,-32.24824,-32.24824,13/manual_9.pdb
148.05291748,1158.70625618,-32.49643,14/manual_0.pdb
174.023391724,-35.16501,-35.16501,14/manual_1.pdb
165.728973389,-33.85331,-33.85331,14/manual_2.pdb
175.922393799,-33.71684,-33.71684,14/manual_3.pdb
175.268859863,-31.11471,-31.11471,14/manual_4.pdb
194.125213623,-34.75956,-34.75956,14/manual_5.pdb
187.234588623,-32.24824,-32.24824,14/manual_6.pdb
163.199554443,-34.19362,-34.19362,14/manual_7.pdb
127.628059387,-33.21576,-33.21576,14/manual_8.pdb
0.0,-71.45297,-71.45297,14/manual_9.pdb
146.458328247,1458.90426872,-35.0817,15/manual_0.pdb
161.57081604,-33.08588,-33.08588,15/manual_1.pdb
165.497512817,-32.69274,-32.69274,15/manual_2.pdb
133.968902588,-34.09951,-34.09951,15/manual_3.pdb
157.20880127,-33.15484,-33.15484,15/manual_4.pdb
167.763092041,-32.55979,-32.55979,15/manual_5.pdb
158.786956787,-32.14388,-32.14388,15/manual_6.pdb
178.417297363,-31.01186,-31.01186,15/manual_7.pdb
166.403549194,-32.14725,-32.14725,15/manual_8.pdb
0.0,-35.78973,-35.78973,15/manual_9.pdb
19.2454280853,1045.76273789,-36.03567,16/manual_0.pdb
18.342666626,-31.65803,-31.65803,16/manual_1.pdb
38.8338928223,-33.3285,-33.3285,16/manual_2.pdb
35.4787521362,-32.14822,-32.14822,16/manual_3.pdb
25.5373897552,-33.85455,-33.85455,16/manual_4.pdb
13.2566585541,-33.29645,-33.29645,16/manual_5.pdb
0.0,-34.30948,-34.30948,16/manual_6.pdb
10.1148548126,-33.67441,-33.67441,16/manual_7.pdb
34.8623390198,-33.6407,-33.6407,16/manual_8.pdb
37.102481842,-31.85701,-31.85701,16/manual_9.pdb
168.816696167,1686.60225632,-32.3326,17/manual_0.pdb
180.448394775,-31.6368,-31.6368,17/manual_1.pdb
174.7837677,-32.98033,-32.98033,17/manual_2.pdb
161.68069458,-33.60839,-33.60839,17/manual_3.pdb
176.512649536,-34.39311,-34.39311,17/manual_4.pdb
139.425491333,-32.09922,-32.09922,17/manual_5.pdb
0.0,-90.38114,-90.38114,17/manual_6.pdb
185.468994141,-32.28685,-32.28685,17/manual_7.pdb
101.707603455,-33.27016,-33.27016,17/manual_8.pdb
169.071884155,-32.8605,-32.8605,17/manual_9.pdb
20.8438816071,1738.0539779,-33.32853,18/manual_0.pdb
27.5354480743,-34.19795,-34.19795,18/manual_1.pdb
20.3871994019,-32.3326,-32.3326,18/manual_2.pdb
20.5373134613,-31.98769,-31.98769,18/manual_3.pdb
20.6469726562,-32.38252,-32.38252,18/manual_4.pdb
34.5782966614,-32.36993,-32.36993,18/manual_5.pdb
20.9745159149,-33.8195,-33.8195,18/manual_6.pdb
20.6512928009,-32.0969,-32.0969,18/manual_7.pdb
148.147262573,-33.4651,-33.4651,18/manual_8.pdb
0.0,-34.28158,-34.28158,18/manual_9.pdb
168.952362061,1736.77319058,-33.26067,19/manual_0.pdb
171.695037842,-32.02488,-32.02488,19/manual_1.pdb
181.524856567,-35.03748,-35.03748,19/manual_2.pdb
155.204147339,-31.11471,-31.11471,19/manual_3.pdb
0.0,-42.62013,-42.62013,19/manual_4.pdb
181.097167969,-34.96985,-34.96985,19/manual_5.pdb
177.243347168,-33.74178,-33.74178,19/manual_6.pdb
172.246200562,-32.47914,-32.47914,19/manual_7.pdb
173.191299438,-29.00849,-29.00849,19/manual_8.pdb
52.4873504639,-32.47496,-32.47496,19/manual_9.pdb
156.468383789,1492.05879703,-30.76367,1/manual_0.pdb
161.774902344,-34.23208,-34.23208,1/manual_1.pdb
174.504318237,-32.59709,-32.59709,1/manual_2.pdb
163.347793579,-37.1398,-37.1398,1/manual_3.pdb
183.77973938,-32.26871,-32.26871,1/manual_4.pdb
160.371932983,-31.58583,-31.58583,1/manual_5.pdb
174.365081787,-34.47819,-34.47819,1/manual_6.pdb
0.0,-81.58389,-81.58389,1/manual_7.pdb
27.4049873352,-32.02436,-32.02436,1/manual_8.pdb
154.055725098,-33.04948,-33.04948,1/manual_9.pdb
176.482208252,1738.09339648,-32.0969,20/manual_0.pdb
175.364593506,-31.71894,-31.71894,20/manual_1.pdb
196.726119995,-31.93082,-31.93082,20/manual_2.pdb
113.246658325,-32.8605,-32.8605,20/manual_3.pdb
191.305038452,-32.32934,-32.32934,20/manual_4.pdb
0.0,-67.80777,-67.80777,20/manual_5.pdb
180.452880859,-32.17062,-32.17062,20/manual_6.pdb
179.537872314,-34.1461,-34.1461,20/manual_7.pdb
174.838165283,-33.31888,-33.31888,20/manual_8.pdb
183.543212891,-36.19063,-36.19063,20/manual_9.pdb
154.729980469,1288.11306858,-29.58758,21/manual_0.pdb
137.847915649,-30.86662,-30.86662,21/manual_1.pdb
186.399108887,-32.27758,-32.27758,21/manual_2.pdb
190.010894775,-29.99068,-29.99068,21/manual_3.pdb
0.0,-74.44572,-74.44572,21/manual_4.pdb
197.978408813,-31.80834,-31.80834,21/manual_5.pdb
21.5499153137,-34.28158,-34.28158,21/manual_6.pdb
154.096832275,-33.38733,-33.38733,21/manual_7.pdb
180.430511475,-32.94555,-32.94555,21/manual_8.pdb
184.839172363,-32.69274,-32.69274,21/manual_9.pdb
21.4025669098,1562.1817647,-30.9655,22/manual_0.pdb
32.2606239319,-32.49643,-32.49643,22/manual_1.pdb
18.8378620148,-31.67223,-31.67223,22/manual_2.pdb
36.0359039307,-34.44299,-34.44299,22/manual_3.pdb
23.5346736908,-29.99177,-29.99177,22/manual_4.pdb
32.1611404419,-32.8688,-32.8688,22/manual_5.pdb
13.91426754,-33.07909,-33.07909,22/manual_6.pdb
0.0,-35.03748,-35.03748,22/manual_7.pdb
21.1448040009,-34.86581,-34.86581,22/manual_8.pdb
15.5390300751,-34.71879,-34.71879,22/manual_9.pdb
165.412322998,1623.25659064,-29.99177,23/manual_0.pdb
160.267044067,-35.06692,-35.06692,23/manual_1.pdb
162.539642334,-33.02207,-33.02207,23/manual_2.pdb
173.749908447,-32.69274,-32.69274,23/manual_3.pdb
176.030685425,-32.28685,-32.28685,23/manual_4.pdb
172.587875366,-36.62863,-36.62863,23/manual_5.pdb
13.5303068161,-70.51773,-70.51773,23/manual_6.pdb
179.004776001,-32.25203,-32.25203,23/manual_7.pdb
0.0,-73.28393,-73.28393,23/manual_8.pdb
198.910324097,-32.55663,-32.55663,23/manual_9.pdb
184.036956787,1980.11482208,-33.50127,24/manual_0.pdb
185.54524231,-30.76367,-30.76367,24/manual_1.pdb
175.285705566,-30.09472,-30.09472,24/manual_2.pdb
151.761627197,-36.97597,-36.97597,24/manual_3.pdb
160.449310303,-32.65851,-32.65851,24/manual_4.pdb
15.2344455719,-65.97018,-65.97018,24/manual_5.pdb
