*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1067 1919 11.364711171
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14792 | -2.42 | 1700.00 |     0 |     0 |     0 | -372.89 | 1067.25 |    0.00 |     0 |10.79 || -0.04330 0.02187 -0.00974 0.47302 0.35620 -0.47984
   2 | 12030 | -3.01 | 1668.90 |     0 |     0 |     0 |  195.34 | 1062.30 |    0.00 |     0 |11.36 || -2.01001 0.68154 -2.44691 22.50037 -21.38314 -22.37431
   3 | 10930 | -3.22 | 1618.30 |     0 |     0 |     0 |   50.85 | 1040.50 |    0.00 |     0 | 7.30 || -2.43710 0.44372 0.99415 16.44712 -28.42020 -19.94922
   4 | 10746 | -3.27 | 1506.70 |     0 |     0 |     0 |   35.46 | 1042.87 |    0.00 |     0 |10.76 || -2.71202 0.56156 1.00738 17.53607 -27.15616 -24.15648
   5 | 10426 | -3.52 | 1646.90 |     0 |     0 |     0 | -409.66 | 1065.36 |    0.00 |     0 |10.34 || -0.11930 -0.26692 -0.00068 2.98501 -1.96538 4.96664
   6 | 10394 | -2.65 | 1150.60 |     0 |     0 |     0 | -187.45 |  945.01 |    0.00 |     0 |10.27 || 0.00853 -0.19528 0.11766 0.93855 -1.56744 4.12669
   7 | 10172 | -3.21 | 1709.50 |     0 |     0 |     0 |   -6.20 | 1135.11 |    0.00 |     0 | 9.45 || -1.93534 0.65263 -2.75267 20.21385 -20.67424 -22.98209
   8 | 10136 | -3.59 | 1434.30 |     0 |     0 |     0 |  -87.02 | 1012.74 |    0.00 |     0 |10.80 || -2.67736 0.67274 0.79027 14.48843 -22.44121 -23.91391
   9 | 10128 | -2.89 | 1232.50 |     0 |     0 |     0 |  -40.94 |  899.45 |    0.00 |     0 | 7.42 || -0.66635 0.29861 2.10995 7.09131 -28.61211 -3.01984
  10 |  9988 | -2.83 | 1491.00 |     0 |     0 |     0 | -217.00 | 1002.30 |    0.00 |     0 |11.32 || -0.10128 0.24344 -0.31567 -1.16145 9.80015 -2.78560
  11 |  9870 | -2.55 | 1137.60 |     0 |     0 |     0 |   57.74 |  903.23 |    0.00 |     0 | 9.68 || -0.42818 0.06464 2.29033 11.64860 -27.77342 1.77427
  12 |  9466 | -2.81 | 1206.60 |     0 |     0 |     0 |  -27.05 |  816.87 |    0.00 |     0 |10.79 || -3.12598 0.32186 1.55597 27.04943 -30.64764 -3.58929
  13 |  9248 | -3.14 | 1228.30 |     0 |     0 |     0 |   91.82 |  918.14 |    0.00 |     0 | 6.64 || -1.14893 0.56019 -2.97553 23.51877 -20.97084 -13.47505
  14 |  9022 | -3.67 | 1347.90 |     0 |     0 |     0 |  -79.61 |  863.44 |    0.00 |     0 |11.32 || -3.02510 -0.03642 1.74735 32.31554 -32.35480 2.88420
  15 |  8984 | -2.93 | 1321.70 |     0 |     0 |     0 |  -88.22 |  914.66 |    0.00 |     0 |10.46 || -2.62802 0.32230 0.76541 10.34162 -26.19305 -22.79339
  16 |  8842 | -2.68 | 1121.80 |     0 |     0 |     0 |   47.00 |  833.43 |    0.00 |     0 |11.20 || -2.48727 0.38978 1.09047 17.89890 -31.38629 -24.91854
  17 |  8728 | -2.37 | 1037.90 |     0 |     0 |     0 |   15.44 |  790.41 |    0.00 |     0 |10.77 || -2.51230 0.64631 0.31572 10.37181 -16.30771 -25.49462
  18 |  8588 | -3.26 | 1459.20 |     0 |     0 |     0 | -190.78 | 1000.13 |    0.00 |     0 |10.78 || -2.40847 0.64772 -0.20967 12.19878 -8.43410 -25.28551
  19 |  8580 | -3.29 | 1191.00 |     0 |     0 |     0 | -246.83 |  792.16 |    0.00 |     0 | 8.09 || -0.84430 -0.27165 0.87957 -8.20696 -8.35029 2.11307
  20 |  8488 | -3.26 | 1149.30 |     0 |     0 |     0 |    2.52 |  803.83 |    0.00 |     0 |10.99 || -1.01584 0.00034 0.77491 -11.64181 -9.38207 -0.83383
  21 |  8456 | -4.04 | 1324.40 |     0 |     0 |     0 | -234.54 |  985.51 |    0.00 |     0 |10.08 || -0.28309 0.01350 0.39609 -5.22701 -11.89155 8.05743
  22 |  8442 | -2.52 | 1012.70 |     0 |     0 |     0 |  242.03 |  713.00 |    0.00 |     0 | 9.97 || -1.40908 -0.92371 1.99407 15.40524 -44.32102 6.03144
  23 |  8428 | -3.51 | 1319.50 |     0 |     0 |     0 |  123.03 |  927.95 |    0.00 |     0 |10.16 || -2.88197 0.61744 1.02051 18.51890 -27.00404 -21.30957
  24 |  8368 | -3.21 | 1178.50 |     0 |     0 |     0 |  -39.21 |  779.75 |    0.00 |     0 |11.19 || -2.42177 0.09621 0.95086 8.98807 -30.76779 -5.98728
  25 |  8348 | -2.46 |  979.50 |     0 |     0 |     0 |  170.47 |  962.51 |    0.00 |     0 | 8.43 || -1.55842 0.48237 -2.84366 22.15482 -21.82430 -17.78013
  26 |  8258 | -3.02 | 1136.00 |     0 |     0 |     0 |  -61.83 |  818.66 |    0.00 |     0 | 4.55 || -0.40026 0.42790 2.40174 16.58462 -31.35606 -1.85163
  27 |  8256 | -2.63 | 1060.50 |     0 |     0 |     0 | -145.58 |  664.97 |    0.00 |     0 | 6.22 || -0.60432 0.44774 1.72878 0.55476 -23.42289 -5.78848
  28 |  8248 | -2.59 |  993.00 |     0 |     0 |     0 | -122.45 |  875.47 |    0.00 |     0 | 5.75 || -0.29885 0.61786 2.24177 14.38729 -28.47138 -5.62413
  29 |  8242 | -2.90 | 1103.00 |     0 |     0 |     0 |   71.79 |  771.48 |    0.00 |     0 |10.87 || 2.91383 0.42025 1.61855 27.26020 -29.50645 -4.62761
  30 |  8224 | -2.43 |  931.30 |     0 |     0 |     0 |  -60.52 |  816.79 |    0.00 |     0 |11.31 || -0.17937 0.09780 -0.26487 -3.00397 7.92128 0.66564
  31 |  8146 | -3.67 | 1498.80 |     0 |     0 |     0 | -368.61 | 1005.66 |    0.00 |     0 | 5.63 || -0.27805 0.00118 0.18432 -3.03901 -2.42800 3.47324
  32 |  8138 | -2.61 | 1028.80 |     0 |     0 |     0 | -159.11 |  759.18 |    0.00 |     0 | 6.48 || -0.44456 0.18341 1.73398 1.86448 -25.07159 0.89151
  33 |  8136 | -2.99 | 1074.10 |     0 |     0 |     0 |  175.70 |  813.54 |    0.00 |     0 | 8.91 || -0.76055 -0.60005 2.47218 20.48838 -43.38752 10.48878
  34 |  8126 | -3.11 | 1177.70 |     0 |     0 |     0 | -183.76 |  770.98 |    0.00 |     0 | 5.56 || -0.58042 -0.25020 0.02810 -1.57890 8.46340 7.44480
  35 |  7996 | -2.92 | 1099.90 |     0 |     0 |     0 |  -27.22 |  785.35 |    0.00 |     0 | 7.29 || -0.50188 0.81654 1.52975 -1.82558 -28.09159 -10.02599
  36 |  7942 | -2.82 | 1070.60 |     0 |     0 |     0 |   74.93 |  769.64 |    0.00 |     0 |11.22 || -3.05196 0.31049 1.69709 31.60988 -31.27603 -3.87372
  37 |  7892 | -2.89 |  937.00 |     0 |     0 |     0 |   11.46 |  720.70 |    0.00 |     0 |10.30 || 3.12048 -0.01702 1.17995 19.37854 -33.16047 2.91025
  38 |  7868 | -2.95 | 1072.20 |     0 |     0 |     0 | -205.21 |  693.75 |    0.00 |     0 | 7.58 || -1.60750 0.03297 -0.04970 6.79967 -10.68365 -14.93556
  39 |  7826 | -3.10 | 1054.40 |     0 |     0 |     0 |  187.35 |  749.14 |    0.00 |     0 | 8.85 || 0.28308 -0.24540 -2.61172 36.26834 -24.11033 14.75759
  40 |  7820 | -3.40 | 1229.20 |     0 |     0 |     0 |  112.27 |  817.64 |    0.00 |     0 |10.74 || 2.95147 -0.90665 -1.98143 9.35964 8.21501 2.98957
  41 |  7814 | -3.32 | 1156.00 |     0 |     0 |     0 | -223.50 |  758.14 |    0.00 |     0 | 5.50 || -2.05836 0.44149 -0.37040 10.57466 -5.79462 -23.45714
  42 |  7764 | -2.61 |  993.90 |     0 |     0 |     0 | -110.40 |  773.87 |    0.00 |     0 |11.14 || -0.67557 0.13433 -0.30144 0.27181 16.22726 -4.15024
  43 |  7732 | -2.92 | 1061.60 |     0 |     0 |     0 | -145.37 |  652.69 |    0.00 |     0 | 4.94 || -0.38568 -0.46160 0.31156 -0.80070 5.10043 10.79234
  44 |  7654 | -2.74 |  894.80 |     0 |     0 |     0 |  -25.01 |  880.13 |    0.00 |     0 |10.09 || -0.32545 -0.05399 -0.27200 -0.96646 6.15498 1.92666
  45 |  7644 | -3.28 | 1024.00 |     0 |     0 |     0 |   -5.01 |  804.92 |    0.00 |     0 |10.51 || -1.61953 0.35145 -2.43568 22.82120 -7.18136 -12.06126
  46 |  7632 | -3.92 | 1426.50 |     0 |     0 |     0 | -215.06 |  888.64 |    0.00 |     0 | 7.94 || -0.98852 -0.46575 -0.04253 4.31579 -3.24345 3.23025
  47 |  7534 | -3.70 | 1327.90 |     0 |     0 |     0 |  124.14 |  907.38 |    0.00 |     0 | 9.49 || -1.06668 0.56268 -2.96680 24.42695 -16.38778 -14.58787
  48 |  7528 | -3.91 | 1855.70 |     0 |     0 |     0 |  -83.57 | 1091.38 |    0.00 |     0 | 7.09 || -1.36270 0.62928 -3.02599 21.92003 -24.29189 -12.81810
  49 |  7526 | -2.73 | 1196.00 |     0 |     0 |     0 | -265.40 |  763.53 |    0.00 |     0 |11.32 || -0.19225 -0.10267 -0.03799 2.69421 4.20455 -2.23971
  50 |  7526 | -2.93 |  958.10 |     0 |     0 |     0 |  128.04 |  795.87 |    0.00 |     0 |11.00 || -1.50682 0.23082 -2.79085 24.79233 -9.48085 -17.21346
  51 |  7524 | -3.45 | 1068.60 |     0 |     0 |     0 |   71.52 |  773.39 |    0.00 |     0 |10.06 || -0.62800 -0.35289 2.23976 17.79105 -42.71312 12.59075
  52 |  7514 | -2.83 | 1047.10 |     0 |     0 |     0 | -166.24 |  677.10 |    0.00 |     0 | 3.46 || -1.99751 0.35511 -0.02508 8.35126 -12.39424 -22.02035
  53 |  7496 | -2.66 |  964.40 |     0 |     0 |     0 |  -14.82 |  775.81 |    0.00 |     0 | 4.98 || -1.25609 0.75863 3.10958 18.97507 -20.30368 -19.37627
  54 |  7464 | -2.74 |  882.90 |     0 |     0 |     0 | -172.77 |  640.96 |    0.00 |     0 | 5.55 || -0.48523 -0.34576 1.27317 -3.46836 -16.78682 6.71984
  55 |  7456 | -4.06 | 1830.00 |     0 |     0 |     0 | -336.45 | 1106.87 |    0.00 |     0 | 9.81 || -0.97457 -0.06216 -0.20642 -0.00130 9.84871 2.79059
  56 |  7438 | -3.22 | 1166.20 |     0 |     0 |     0 |  240.23 |  761.39 |    0.00 |     0 |11.01 || 0.36600 0.10531 -2.82512 32.35614 -20.35691 6.30940
  57 |  7404 | -2.79 |  903.80 |     0 |     0 |     0 | -149.61 |  522.24 |    0.00 |     0 | 4.18 || -0.08962 -0.22100 0.58171 -3.46280 -2.53243 11.38953
  58 |  7396 | -3.24 | 1088.00 |     0 |     0 |     0 | -189.25 |  819.39 |    0.00 |     0 | 8.08 || -0.43370 0.53982 1.16201 -8.33841 -20.76786 -0.77706
  59 |  7390 | -3.48 | 1120.30 |     0 |     0 |     0 | -122.21 |  790.15 |    0.00 |     0 | 9.41 || -0.88500 -0.03455 -0.04970 -2.95690 11.64364 -1.46763
  60 |  7372 | -3.20 | 1058.30 |     0 |     0 |     0 |   41.44 |  813.35 |    0.00 |     0 |11.36 || -1.45255 0.34389 -2.49987 24.51113 -5.60016 -14.32601
  61 |  7356 | -4.03 | 1343.80 |     0 |     0 |     0 |   91.56 |  976.13 |    0.00 |     0 | 8.18 || -2.31177 0.47160 1.02282 19.76471 -28.89217 -20.03490
  62 |  7338 | -3.02 | 1015.90 |     0 |     0 |     0 |   72.61 |  696.54 |    0.00 |     0 | 4.63 || -2.28476 -0.08175 -1.95480 17.36832 5.54015 -10.74272
  63 |  7318 | -2.85 | 1069.30 |     0 |     0 |     0 |  206.68 |  705.47 |    0.00 |     0 | 8.26 || -2.91414 0.39414 -2.03471 8.52956 2.96811 -5.95468
  64 |  7308 | -3.83 | 1119.30 |     0 |     0 |     0 |  302.41 |  779.43 |    0.00 |     0 | 9.76 || -0.16266 0.34598 -2.50839 44.07356 -23.91754 5.05089
  65 |  7302 | -2.71 |  902.30 |     0 |     0 |     0 | -125.51 |  607.50 |    0.00 |     0 | 7.77 || -2.14198 0.74351 -1.17687 16.19418 -4.69875 -23.89910
  66 |  7300 | -2.79 |  969.50 |     0 |     0 |     0 |  -87.11 |  682.36 |    0.00 |     0 |11.17 || -2.31499 0.01715 1.00282 6.61528 -33.84077 -19.07909
  67 |  7284 | -3.08 | 1051.40 |     0 |     0 |     0 |  -75.97 |  704.93 |    0.00 |     0 | 4.71 || -2.06275 0.11424 -1.95409 19.58839 2.51450 -13.86867
  68 |  7274 | -3.12 | 1057.40 |     0 |     0 |     0 |   49.00 |  882.22 |    0.00 |     0 |10.18 || -2.95810 0.31590 1.16782 19.52714 -30.56407 -5.03332
  69 |  7256 | -3.12 | 1048.20 |     0 |     0 |     0 |   -8.87 |  819.88 |    0.00 |     0 |11.35 || -2.50715 0.52932 0.84710 13.72540 -25.82718 -26.55297
  70 |  7246 | -2.58 |  973.10 |     0 |     0 |     0 |   11.24 |  794.80 |    0.00 |     0 | 4.00 || -1.62289 0.76514 -2.66774 19.67306 -15.04796 -19.17564
  71 |  7236 | -3.99 | 1212.70 |     0 |     0 |     0 |  -86.14 | 1030.01 |    0.00 |     0 | 9.84 || -1.14270 0.04025 -0.16121 -2.08747 9.09796 -4.67394
  72 |  7194 | -3.16 |  985.40 |     0 |     0 |     0 |   80.70 |  752.86 |    0.00 |     0 | 8.63 || -1.21689 0.59792 -2.70794 25.03467 -23.00930 -10.76566
  73 |  7190 | -3.05 |  870.00 |     0 |     0 |     0 |  274.56 |  717.85 |    0.00 |     0 | 8.33 || 0.59500 -0.98072 0.40659 12.11200 -3.14836 30.66997
  74 |  7180 | -3.55 | 1254.90 |     0 |     0 |     0 |  -39.50 |  980.12 |    0.00 |     0 | 4.71 || -1.20523 0.74867 2.88656 15.81931 -23.62110 -15.42443
  75 |  7174 | -3.26 | 1012.00 |     0 |     0 |     0 | -255.98 |  685.77 |    0.00 |     0 | 7.92 || -1.00198 -0.27830 -0.32685 3.81136 14.80119 -4.75408
  76 |  7120 | -2.98 | 1119.50 |     0 |     0 |     0 |  363.48 |  801.28 |    0.00 |     0 |10.62 || 0.43970 -0.13648 -2.70864 31.05494 -20.61166 11.60884
  77 |  7118 | -3.07 | 1012.10 |     0 |     0 |     0 | -156.78 |  825.35 |    0.00 |     0 | 2.82 || -0.75097 0.83037 2.38657 11.83780 -26.55396 -14.02085
  78 |  7106 | -2.79 |  910.80 |     0 |     0 |     0 |   23.87 |  668.39 |    0.00 |     0 | 4.32 || -2.37333 -0.42039 -1.74319 15.10739 7.87533 -7.22280
  79 |  7080 | -2.79 |  861.90 |     0 |     0 |     0 |  166.35 |  633.54 |    0.00 |     0 |11.31 || 1.86155 -0.01039 0.97533 13.64131 -32.59829 6.41246
  80 |  7074 | -3.49 | 1032.80 |     0 |     0 |     0 | -280.98 |  789.55 |    0.00 |     0 | 6.40 || -0.14572 0.63134 0.96527 -6.31009 -21.07592 -5.44457
  81 |  7072 | -3.86 | 1127.00 |     0 |     0 |     0 |  120.80 |  785.12 |    0.00 |     0 |10.18 || 2.94339 0.38264 1.78676 36.55780 -31.46661 -9.46616
  82 |  7044 | -2.93 |  987.90 |     0 |     0 |     0 |  163.77 |  720.49 |    0.00 |     0 |10.23 || 0.23711 -1.37790 0.28852 20.07070 1.08353 31.32368
  83 |  7010 | -2.74 |  870.60 |     0 |     0 |     0 |  215.08 |  635.94 |    0.00 |     0 |10.06 || -1.08726 -0.84891 2.12644 9.77353 -41.40866 8.35225
  84 |  7004 | -3.79 | 1204.90 |     0 |     0 |     0 |  353.91 |  843.48 |    0.00 |     0 | 9.20 || 0.04340 -0.10984 -2.67707 36.24543 -26.06112 15.72876
  85 |  6986 | -2.74 |  923.50 |     0 |     0 |     0 |  182.09 |  733.23 |    0.00 |     0 |10.87 || -0.76873 -0.64868 2.43080 17.98017 -42.71959 15.63459
  86 |  6982 | -2.59 |  838.50 |     0 |     0 |     0 |   78.33 |  733.71 |    0.00 |     0 |11.25 || -1.51811 -0.35136 -1.40256 16.12337 3.48709 -0.77302
  87 |  6972 | -3.25 | 1114.10 |     0 |     0 |     0 |  -98.96 |  802.32 |    0.00 |     0 | 7.09 || -2.39422 0.17536 0.82107 8.94045 -28.76530 -18.99457
  88 |  6970 | -3.69 | 1034.90 |     0 |     0 |     0 |  316.51 |  736.50 |    0.00 |     0 |10.20 || -1.70866 -0.84335 1.80907 17.48384 -45.62493 4.84548
  89 |  6960 | -3.41 | 1161.50 |     0 |     0 |     0 |   31.46 |  820.73 |    0.00 |     0 |11.32 || 3.11449 0.50404 1.66478 29.02041 -29.98318 -8.32435
  90 |  6958 | -3.29 | 1113.40 |     0 |     0 |     0 |  -56.77 |  783.67 |    0.00 |     0 | 3.90 || -2.04163 0.50738 -2.34086 21.24055 -7.12939 -23.54261
  91 |  6950 | -2.41 |  802.20 |     0 |     0 |     0 |  193.23 |  551.40 |    0.00 |     0 | 8.89 || 2.25168 0.10591 -2.07918 7.11616 9.65499 14.04491
  92 |  6940 | -2.83 |  926.80 |     0 |     0 |     0 | -260.87 |  703.50 |    0.00 |     0 | 6.41 || -0.61896 -0.18795 0.80824 -6.87870 -6.23242 2.58621
