*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1067 1643 12.4039457432
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11166 | -3.37 | 1722.80 |     0 |     0 |     0 |  -15.77 | 1285.52 |    0.00 |     0 | 9.64 || -2.47129 0.36238 0.83714 13.62770 -25.96735 -20.55535
   2 | 10816 | -3.50 | 1542.90 |     0 |     0 |     0 | -163.40 | 1259.89 |    0.00 |     0 |10.88 || -0.76668 -0.14722 -0.18935 1.04589 11.93988 4.36330
   3 | 10690 | -3.87 | 1854.10 |     0 |     0 |     0 | -218.54 | 1445.57 |    0.00 |     0 | 9.00 || -0.53936 -0.17419 -0.23750 2.42556 7.38715 5.37013
   4 | 10602 | -3.86 | 2022.70 |     0 |     0 |     0 | -517.27 | 1481.44 |    0.00 |     0 |12.05 || 0.10478 0.04359 0.08103 1.45685 -0.21666 -0.29756
   5 | 10004 | -2.97 | 1344.40 |     0 |     0 |     0 |   66.67 | 1024.70 |    0.00 |     0 | 8.96 || -2.18823 0.20740 1.19494 19.74373 -33.16066 -22.97256
   6 |  9972 | -3.00 | 1347.60 |     0 |     0 |     0 |   65.05 |  975.58 |    0.00 |     0 |11.23 || -2.45596 0.35673 1.26523 25.01394 -32.15060 -25.26850
   7 |  9936 | -3.31 | 1538.00 |     0 |     0 |     0 |  -25.19 | 1222.48 |    0.00 |     0 |12.34 || -2.63484 0.46989 0.79410 13.62741 -24.80792 -20.60547
   8 |  9814 | -3.30 | 1376.50 |     0 |     0 |     0 |  -67.68 |  933.00 |    0.00 |     0 |11.52 || 0.32267 -0.95144 0.41034 13.09851 -3.50172 30.49120
   9 |  9642 | -2.65 | 1143.70 |     0 |     0 |     0 |  -83.23 | 1240.67 |    0.00 |     0 |10.07 || -0.42337 -0.09237 -0.34502 1.75006 11.21541 4.10264
  10 |  9602 | -3.32 | 1497.10 |     0 |     0 |     0 | -285.32 | 1140.43 |    0.00 |     0 |10.79 || -0.10187 0.12132 -0.27293 -0.51164 9.36985 1.06421
  11 |  9448 | -3.45 | 1460.40 |     0 |     0 |     0 |   52.80 | 1067.13 |    0.00 |     0 | 7.63 || 0.81431 -0.68835 0.66379 10.98206 -10.67045 24.39185
  12 |  9390 | -3.55 | 1558.70 |     0 |     0 |     0 | -232.78 | 1115.82 |    0.00 |     0 |10.36 || 1.02808 -0.18328 0.72234 7.09985 -17.16257 15.81402
  13 |  9258 | -3.12 | 1249.90 |     0 |     0 |     0 |  -61.46 |  876.58 |    0.00 |     0 | 7.43 || 0.58346 -0.12963 0.53471 -0.68320 -13.64858 20.14934
  14 |  9126 | -3.43 | 1379.30 |     0 |     0 |     0 | -238.74 | 1098.60 |    0.00 |     0 |11.96 || -0.14449 0.13903 -0.47815 3.12893 15.65148 -0.29068
  15 |  9118 | -2.87 | 1185.60 |     0 |     0 |     0 |   12.76 | 1001.76 |    0.00 |     0 |11.91 || -2.12324 0.40959 1.29585 24.35502 -31.25696 -25.11256
  16 |  9106 | -3.07 | 1277.00 |     0 |     0 |     0 | -130.20 |  980.65 |    0.00 |     0 | 9.26 || -0.08506 -0.18017 0.53581 -1.39080 -9.95067 10.67214
  17 |  8966 | -3.62 | 1642.10 |     0 |     0 |     0 | -119.18 | 1266.60 |    0.00 |     0 | 8.96 || -2.51398 0.32262 0.83269 13.99726 -26.74139 -15.54574
  18 |  8858 | -2.90 | 1176.60 |     0 |     0 |     0 | -279.50 |  935.07 |    0.00 |     0 |10.62 || -0.34678 0.08313 -0.23820 -0.99598 12.91704 3.18853
