*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1034 1451 12.5500879678
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13184 | -2.48 | 1634.90 |     0 |     0 |     0 |  -46.21 | 1054.98 |    0.00 |     0 | 9.33 || -2.34282 0.32065 1.03432 16.39745 -32.00791 -24.69847
   2 | 12762 | -3.42 | 2195.00 |     0 |     0 |     0 |  -31.50 | 1294.25 |    0.00 |     0 |11.98 || -2.57385 0.58158 0.55613 11.61228 -19.43570 -23.03946
   3 | 12552 | -2.90 | 1715.30 |     0 |     0 |     0 |   13.91 | 1212.27 |    0.00 |     0 |11.83 || -3.08147 0.22029 1.79098 39.11589 -33.85130 -12.02223
   4 | 12470 | -3.83 | 2475.00 |     0 |     0 |     0 | -613.29 | 1359.68 |    0.00 |     0 | 5.73 || -0.05554 -0.05878 0.06457 -1.35990 2.41352 6.74091
   5 | 12280 | -2.73 | 1609.60 |     0 |     0 |     0 |   46.52 | 1041.70 |    0.00 |     0 | 7.47 || -2.12789 0.01692 1.11667 15.20583 -36.01176 -14.17861
   6 | 12146 | -3.24 | 1563.50 |     0 |     0 |     0 |  219.92 | 1147.87 |    0.00 |     0 | 7.74 || -2.33186 0.30231 0.92200 13.23195 -30.58781 -20.75333
   7 | 11540 | -2.88 | 1786.70 |     0 |     0 |     0 | -203.65 | 1076.32 |    0.00 |     0 | 9.67 || -2.27449 0.35098 1.16316 20.38774 -32.17404 -25.36126
   8 | 11290 | -2.90 | 1642.50 |     0 |     0 |     0 |   91.36 | 1190.08 |    0.00 |     0 |10.78 || -2.99219 0.06937 1.83685 40.34943 -34.03639 -6.97095
   9 | 11198 | -2.89 | 1465.70 |     0 |     0 |     0 |  -50.89 |  927.10 |    0.00 |     0 |12.02 || -2.62850 0.38662 1.17401 22.57435 -33.76625 -25.96220
  10 | 11148 | -3.94 | 2270.40 |     0 |     0 |     0 |  204.62 | 1258.57 |    0.00 |     0 |12.53 || -3.13454 0.24800 1.95037 39.71200 -30.86149 -10.25475
