*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1030 1945 22.0030854427
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/3ANScap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/3ANScap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3ANSbot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3ANSbot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 19330 | -2.16 | 2094.40 |     0 |     0 |     0 | -477.89 | 1303.62 |    0.00 |     0 |21.61 || -0.00062 0.00363 0.05149 -0.85281 -1.24841 0.71353
   2 | 15464 | -2.79 | 1801.30 |     0 |     0 |     0 | -402.03 | 1168.40 |    0.00 |     0 |21.90 || -0.16975 0.02571 -0.12648 0.65920 4.32646 -2.05345
   3 | 13280 | -3.12 | 1743.00 |     0 |     0 |     0 | -107.02 | 1208.54 |    0.00 |     0 |16.22 || -3.11599 -0.28942 -3.07804 55.20794 -1.21865 7.87055
   4 | 12636 | -3.12 | 1769.50 |     0 |     0 |     0 | -210.80 | 1119.07 |    0.00 |     0 |15.49 || 3.04523 -0.33602 -3.03255 52.27230 -0.32221 10.23515
   5 | 12542 | -3.60 | 2109.50 |     0 |     0 |     0 | -684.56 | 1267.52 |    0.00 |     0 |19.96 || 0.15510 -0.29585 0.20612 3.62995 -5.77456 6.28496
   6 | 12226 | -4.13 | 1714.90 |     0 |     0 |     0 | -188.86 | 1041.01 |    0.00 |     0 | 5.56 || -1.67497 -0.17428 1.83605 38.28231 -32.98065 -1.39914
   7 | 12102 | -3.23 | 1599.00 |     0 |     0 |     0 |  -57.45 | 1055.75 |    0.00 |     0 |21.55 || -2.39614 -1.05460 1.30887 27.03376 -17.58708 24.12326
   8 | 11854 | -2.89 | 1645.40 |     0 |     0 |     0 | -524.14 | 1225.24 |    0.00 |     0 |21.86 || -0.23372 -0.18018 -0.31672 2.82198 6.52541 2.55798
   9 | 11702 | -3.31 | 1643.70 |     0 |     0 |     0 |  -58.54 | 1056.60 |    0.00 |     0 |20.96 || 2.88466 0.19400 2.89599 53.88251 -11.29281 -2.20691
  10 | 11422 | -3.18 | 1439.60 |     0 |     0 |     0 |   15.61 | 1034.21 |    0.00 |     0 |18.92 || -1.62804 -0.59251 2.26016 47.68357 -12.85322 11.08477
  11 | 11388 | -2.79 | 1416.70 |     0 |     0 |     0 | -496.66 | 1140.63 |    0.00 |     0 |20.97 || -0.10114 -0.31001 -0.17248 2.13895 3.04605 6.78652
  12 | 11368 | -2.79 | 1508.30 |     0 |     0 |     0 |  -74.27 | 1219.41 |    0.00 |     0 |21.23 || -2.22831 0.19898 0.43859 6.16171 -18.04157 -9.37356
  13 | 11348 | -3.21 | 1597.40 |     0 |     0 |     0 | -167.53 | 1002.91 |    0.00 |     0 |14.86 || -3.02991 0.16584 2.71045 53.50967 -12.75438 -1.95174
  14 | 11200 | -3.76 | 1880.00 |     0 |     0 |     0 | -226.55 | 1174.04 |    0.00 |     0 |19.76 || -2.24868 -0.90178 1.65690 32.49279 -18.33482 21.09720
  15 | 11180 | -3.38 | 1719.10 |     0 |     0 |     0 |  -28.88 | 1098.87 |    0.00 |     0 |21.19 || -1.29249 -0.75861 2.67904 50.29185 -8.13334 13.74418
  16 | 11144 | -3.73 | 1497.80 |     0 |     0 |     0 | -155.61 | 1053.10 |    0.00 |     0 | 5.02 || -1.53839 -0.34194 1.72140 34.78381 -33.45933 2.40733
  17 | 11046 | -2.99 | 1502.00 |     0 |     0 |     0 |  -76.31 |  931.08 |    0.00 |     0 |12.54 || -2.00770 0.31915 1.55208 31.52084 -31.56744 -10.40969
  18 | 10940 | -3.35 | 1471.70 |     0 |     0 |     0 | -399.82 | 1098.38 |    0.00 |     0 |20.82 || 0.25323 -0.46680 0.18057 4.24681 -2.85036 9.13349
  19 | 10784 | -3.07 | 1380.20 |     0 |     0 |     0 | -238.75 | 1071.66 |    0.00 |     0 | 6.77 || -1.62307 -0.07889 -0.37591 9.56240 -9.08280 -5.98158
  20 | 10768 | -4.21 | 2288.80 |     0 |     0 |     0 | -548.23 | 1185.02 |    0.00 |     0 | 8.02 || -2.53921 0.08123 2.67361 52.01988 -12.32902 -0.75832
  21 | 10756 | -3.12 | 1492.40 |     0 |     0 |     0 |   16.59 | 1028.51 |    0.00 |     0 |13.90 || -1.88884 0.50230 1.30829 27.78458 -28.83640 -15.09397
  22 | 10640 | -4.07 | 1876.10 |     0 |     0 |     0 |  -45.03 | 1121.42 |    0.00 |     0 |21.47 || 3.11363 -0.16844 -2.87187 56.87301 3.80860 3.57498
  23 | 10512 | -3.92 | 1581.90 |     0 |     0 |     0 | -118.67 | 1074.48 |    0.00 |     0 |20.49 || 2.63490 -0.16836 2.53864 48.66042 -18.49282 7.32097
  24 | 10468 | -3.54 | 1472.80 |     0 |     0 |     0 |  -42.68 | 1037.12 |    0.00 |     0 |21.99 || -1.36282 -0.62952 2.27308 47.89187 -13.03043 11.11763
  25 | 10460 | -4.17 | 1679.50 |     0 |     0 |     0 |  224.97 | 1088.76 |    0.00 |     0 |19.42 || -1.84391 -0.90374 -2.96431 38.31042 6.26548 18.08114
  26 | 10460 | -3.87 | 1539.90 |     0 |     0 |     0 |  -85.32 | 1036.36 |    0.00 |     0 |11.81 || -1.96084 -0.24503 1.98511 44.53971 -18.44851 5.90792
  27 | 10400 | -4.26 | 1786.70 |     0 |     0 |     0 |  -62.34 | 1109.58 |    0.00 |     0 |13.78 || -1.53379 -0.89126 1.06766 22.49586 -21.88795 17.77950
  28 | 10396 | -3.70 | 1582.00 |     0 |     0 |     0 |  -48.13 | 1015.42 |    0.00 |     0 |12.41 || -1.92571 -0.33690 3.01466 57.13885 -4.55836 8.70974
  29 | 10384 | -3.85 | 1688.70 |     0 |     0 |     0 | -149.77 | 1207.96 |    0.00 |     0 |13.04 || -3.05323 -0.57253 3.02357 52.34752 -6.32363 15.44210
  30 | 10380 | -2.59 | 1383.30 |     0 |     0 |     0 |   -1.54 |  999.25 |    0.00 |     0 |16.99 || 3.11582 -0.32662 2.97737 46.82042 -11.99156 12.08034
  31 | 10366 | -3.13 | 1590.80 |     0 |     0 |     0 | -148.52 | 1003.57 |    0.00 |     0 |17.60 || 3.05109 -0.01325 2.56631 53.26670 -16.96333 0.97602
  32 | 10360 | -3.48 | 1626.50 |     0 |     0 |     0 | -121.74 | 1141.37 |    0.00 |     0 |18.64 || -2.06745 -0.13374 0.63465 4.25192 -23.28773 -1.86444
  33 | 10332 | -3.67 | 1440.20 |     0 |     0 |     0 | -174.19 |  934.52 |    0.00 |     0 |17.88 || -1.58653 -0.48992 -3.03230 57.86036 0.48426 14.19914
  34 | 10288 | -2.82 | 1543.20 |     0 |     0 |     0 | -309.75 | 1069.74 |    0.00 |     0 |11.52 || -1.76831 -0.05843 -0.24869 5.02017 -6.81532 -10.67863
  35 | 10278 | -4.61 | 2292.00 |     0 |     0 |     0 | -937.77 | 1359.44 |    0.00 |     0 |17.31 || 0.11840 -0.65985 0.24743 8.90532 -5.77247 11.71329
  36 | 10274 | -3.49 | 1856.20 |     0 |     0 |     0 | -362.81 | 1205.18 |    0.00 |     0 |17.24 || 2.79750 -0.31886 -3.08155 51.04616 -1.62157 10.36384
  37 | 10254 | -3.21 | 1486.40 |     0 |     0 |     0 | -131.30 | 1039.02 |    0.00 |     0 |18.20 || -1.54448 -0.52971 -2.94299 54.18368 4.24481 14.09454
  38 | 10244 | -2.75 | 1345.40 |     0 |     0 |     0 | -161.66 |  843.19 |    0.00 |     0 |12.81 || 3.04323 -0.15332 3.03161 51.95068 -4.41752 8.60078
  39 | 10204 | -3.54 | 1613.00 |     0 |     0 |     0 | -287.40 |  976.25 |    0.00 |     0 | 5.81 || -2.21084 -0.04036 2.14191 47.48524 -17.92163 1.91152
  40 | 10178 | -4.27 | 1616.80 |     0 |     0 |     0 |  -72.61 | 1225.71 |    0.00 |     0 |12.33 || -1.14372 -0.93262 0.85485 20.58857 -20.49518 15.86831
  41 | 10140 | -3.02 | 1325.40 |     0 |     0 |     0 |  138.27 | 1082.39 |    0.00 |     0 |17.77 || -2.19547 -1.04821 2.73668 40.18481 -4.48230 24.54290
  42 | 10134 | -3.53 | 1302.70 |     0 |     0 |     0 |  -32.75 |  935.40 |    0.00 |     0 |10.13 || -1.82343 0.21488 1.53685 32.06775 -32.52388 -9.63072
  43 | 10124 | -3.14 | 1705.40 |     0 |     0 |     0 |  -78.91 | 1028.70 |    0.00 |     0 |21.73 || -0.95447 -0.75318 -1.44836 22.61183 18.82226 20.03442
  44 | 10070 | -3.14 | 1303.60 |     0 |     0 |     0 |   69.70 |  958.31 |    0.00 |     0 |14.46 || -1.80060 -0.43867 2.98211 54.00611 -1.55540 9.84949
  45 | 10034 | -3.68 | 1443.70 |     0 |     0 |     0 |  -94.15 |  902.04 |    0.00 |     0 |19.30 || -2.29086 0.62645 1.25590 25.99944 -27.50312 -17.18205
  46 | 10020 | -3.02 | 1494.30 |     0 |     0 |     0 | -335.46 | 1120.39 |    0.00 |     0 |20.33 || -0.04376 0.05888 0.30703 -2.68020 -6.67813 -0.99876
  47 | 10008 | -3.97 | 1564.10 |     0 |     0 |     0 | -134.42 | 1032.48 |    0.00 |     0 | 5.69 || -1.70695 -0.22733 1.90017 41.16267 -29.89746 0.88906
  48 |  9944 | -3.43 | 1572.60 |     0 |     0 |     0 |  -12.95 | 1052.32 |    0.00 |     0 |19.30 || -1.98361 -0.07236 0.48293 1.44487 -19.47420 -3.85367
  49 |  9936 | -2.56 | 1329.30 |     0 |     0 |     0 | -181.88 |  988.87 |    0.00 |     0 |16.83 || -2.53761 0.27160 2.89726 57.96967 -9.53547 -7.20105
  50 |  9926 | -3.73 | 1375.40 |     0 |     0 |     0 | -168.93 | 1009.90 |    0.00 |     0 |15.08 || -2.73936 0.24035 2.83738 56.05923 -10.30979 -5.07561
  51 |  9908 | -3.76 | 1434.50 |     0 |     0 |     0 | -200.64 |  944.91 |    0.00 |     0 |20.34 || 2.82700 -0.02413 2.27648 46.69217 -23.60054 3.06813
  52 |  9858 | -2.84 | 1371.30 |     0 |     0 |     0 |  -64.46 | 1015.03 |    0.00 |     0 | 7.24 || -2.61632 0.01967 2.69146 51.00925 -10.51453 4.00789
  53 |  9858 | -3.26 | 1333.90 |     0 |     0 |     0 | -111.71 |  959.48 |    0.00 |     0 |21.05 || -2.72758 0.43734 1.66932 34.31181 -30.22799 -13.66540
  54 |  9856 | -4.01 | 1860.60 |     0 |     0 |     0 | -199.42 | 1139.72 |    0.00 |     0 |10.83 || -2.76652 0.06110 2.61781 53.46374 -13.79377 -1.38180
  55 |  9854 | -3.48 | 1736.20 |     0 |     0 |     0 | -187.80 | 1117.48 |    0.00 |     0 |12.99 || -3.08042 -0.61278 3.05551 48.15328 -6.88773 17.18222
  56 |  9776 | -3.53 | 1368.80 |     0 |     0 |     0 | -187.95 | 1060.57 |    0.00 |     0 |10.10 || -1.53790 -0.76901 0.91239 19.40300 -23.91578 14.26789
  57 |  9768 | -3.56 | 1475.70 |     0 |     0 |     0 |  434.67 |  920.78 |    0.00 |     0 |16.29 || -1.43340 0.49909 -2.13672 34.93038 -25.86347 -19.39689
  58 |  9706 | -3.81 | 1594.60 |     0 |     0 |     0 | -270.48 |  986.53 |    0.00 |     0 | 6.47 || -2.03526 0.01778 2.15702 49.08124 -24.62184 -6.64369
  59 |  9686 | -3.57 | 1735.20 |     0 |     0 |     0 | -427.75 | 1160.43 |    0.00 |     0 | 4.77 || -1.58333 -0.30935 -0.34275 7.72056 -6.06131 -2.73694
  60 |  9676 | -3.78 | 1337.80 |     0 |     0 |     0 |   79.15 | 1006.22 |    0.00 |     0 |19.49 || -2.98564 -0.23325 -2.86040 57.75266 5.01805 6.18926
  61 |  9664 | -3.77 | 1600.50 |     0 |     0 |     0 | -477.90 | 1155.42 |    0.00 |     0 |15.22 || -0.50702 -1.15972 0.10553 16.01426 -8.92102 13.38824
  62 |  9648 | -3.61 | 1598.40 |     0 |     0 |     0 | -241.55 | 1021.47 |    0.00 |     0 |18.14 || -2.48239 0.33280 1.68772 33.86214 -31.31306 -12.07507
