*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	990 1919 17.3702572232
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14484 | -3.34 | 2058.10 |     0 |     0 |     0 | -177.94 | 1327.63 |    0.00 |     0 | 7.47 || -0.90952 -0.40733 -0.02319 0.95587 0.68724 14.86489
   2 | 12150 | -3.90 | 1975.70 |     0 |     0 |     0 | -277.14 | 1150.45 |    0.00 |     0 |11.77 || -0.37258 -0.63617 0.43443 7.98667 -12.53241 22.32545
   3 | 11446 | -3.54 | 1515.10 |     0 |     0 |     0 |  -51.29 | 1160.17 |    0.00 |     0 | 8.55 || -0.83576 -0.62535 0.23153 3.98486 -5.29688 20.18516
   4 | 11180 | -2.96 | 1446.00 |     0 |     0 |     0 |  -52.93 | 1152.44 |    0.00 |     0 |10.45 || -0.96399 -0.25239 -0.16227 -2.56039 7.13573 10.41442
   5 | 10862 | -3.66 | 1566.00 |     0 |     0 |     0 |  144.24 | 1024.86 |    0.00 |     0 | 8.26 || -2.68110 -0.93535 -3.07869 44.37704 -2.28452 22.17254
   6 | 10602 | -3.04 | 1622.80 |     0 |     0 |     0 |  195.29 | 1062.96 |    0.00 |     0 |16.61 || -0.97677 -0.56311 1.16824 16.57793 -29.20530 10.29758
   7 | 10366 | -2.67 | 1318.30 |     0 |     0 |     0 |   39.60 |  931.32 |    0.00 |     0 | 8.95 || -2.96301 -0.89565 3.00929 44.95820 -6.70056 21.88374
   8 | 10244 | -3.47 | 1807.00 |     0 |     0 |     0 | -215.14 | 1263.43 |    0.00 |     0 | 8.20 || -0.60664 -0.16647 0.02537 -3.74366 3.03013 8.39092
   9 | 10058 | -3.17 | 1444.30 |     0 |     0 |     0 |   85.88 | 1091.85 |    0.00 |     0 | 4.71 || -1.77750 -0.01701 0.68613 6.47260 -24.76048 -6.45509
  10 |  9994 | -3.07 | 1561.00 |     0 |     0 |     0 |  254.81 | 1156.31 |    0.00 |     0 | 9.08 || -1.38474 1.07886 2.97541 11.09493 -23.94246 -19.81957
  11 |  9918 | -3.14 | 1402.40 |     0 |     0 |     0 | -245.20 | 1112.89 |    0.00 |     0 |16.66 || -0.78888 -0.26177 -0.89815 10.98595 8.68101 -3.08577
  12 |  9836 | -2.29 | 1167.90 |     0 |     0 |     0 |   67.97 |  820.03 |    0.00 |     0 |16.08 || -3.01439 -0.69886 0.97773 14.04579 -24.13050 17.88086
  13 |  9798 | -3.56 | 1484.50 |     0 |     0 |     0 |  233.01 |  902.53 |    0.00 |     0 |16.35 || -1.53732 -0.43943 0.83286 16.26073 -25.15467 8.81567
