*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1067 1451 12.859014659
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15196 | -3.22 | 1953.60 |     0 |     0 |     0 | -342.12 | 1325.39 |    0.00 |     0 | 9.44 || 0.01171 -0.14994 0.13231 0.73051 -2.53792 7.62848
   2 | 14416 | -3.28 | 1973.60 |     0 |     0 |     0 | -399.56 | 1331.71 |    0.00 |     0 |11.22 || 0.12113 -0.00625 0.07264 0.40728 -1.16105 3.41167
   3 | 13888 | -3.10 | 1897.70 |     0 |     0 |     0 | -324.31 | 1121.63 |    0.00 |     0 |11.08 || -1.91166 0.29339 1.13902 18.90919 -30.66500 -17.95171
   4 | 13116 | -2.77 | 1721.50 |     0 |     0 |     0 | -316.72 | 1172.04 |    0.00 |     0 | 7.99 || -2.12618 0.38847 1.03559 17.16027 -28.72534 -21.82583
   5 | 12996 | -3.42 | 2081.80 |     0 |     0 |     0 | -296.60 | 1395.13 |    0.00 |     0 |11.94 || 0.06135 -0.05137 -0.12665 3.24691 3.16067 1.97386
   6 | 12808 | -3.17 | 1743.60 |     0 |     0 |     0 | -196.55 | 1144.36 |    0.00 |     0 |11.79 || 2.98164 0.29069 1.80868 36.77771 -30.92811 -10.17575
   7 | 12638 | -2.93 | 1823.20 |     0 |     0 |     0 | -311.26 | 1098.35 |    0.00 |     0 |11.80 || -1.81920 0.28452 1.20474 19.31312 -31.16641 -21.24407
   8 | 12634 | -2.54 | 1437.40 |     0 |     0 |     0 |  -92.37 | 1064.84 |    0.00 |     0 |12.27 || -2.14219 0.43029 1.31202 24.95037 -31.55591 -23.61130
   9 | 12338 | -2.72 | 1477.80 |     0 |     0 |     0 | -122.79 | 1117.23 |    0.00 |     0 |12.39 || 2.97950 0.08812 1.91517 41.32430 -32.21977 -5.39086
  10 | 12296 | -2.92 | 1673.30 |     0 |     0 |     0 |  -67.40 | 1246.78 |    0.00 |     0 |12.77 || -2.45766 0.59661 0.35918 10.08871 -14.26245 -23.55239
