*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1034 1643 12.0002304145
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18738 | -1.98 | 2066.00 |     0 |     0 |     0 | -435.94 | 1393.16 |    0.00 |     0 |11.66 || -0.02439 0.05956 -0.07323 -0.26323 1.79317 -0.69450
   2 | 12118 | -3.45 | 1836.30 |     0 |     0 |     0 |  -52.60 | 1313.46 |    0.00 |     0 |11.87 || -2.63791 0.59880 0.81637 15.95545 -24.75657 -21.39655
   3 | 11994 | -3.32 | 1931.40 |     0 |     0 |     0 | -479.53 | 1524.12 |    0.00 |     0 | 9.16 || -0.18821 -0.11480 -0.05244 0.44286 1.78084 3.62797
   4 | 11764 | -2.91 | 1587.50 |     0 |     0 |     0 |  195.47 | 1229.79 |    0.00 |     0 | 7.93 || -2.38289 0.34003 1.01940 18.10927 -31.09064 -17.73032
   5 | 11624 | -3.66 | 1870.10 |     0 |     0 |     0 | -333.80 | 1330.80 |    0.00 |     0 |10.87 || -0.35815 0.16542 -0.45871 5.29493 12.44825 -7.45312
   6 | 11468 | -3.89 | 1725.20 |     0 |     0 |     0 |   27.51 | 1269.64 |    0.00 |     0 | 9.33 || -2.51201 0.52531 0.87361 16.77911 -26.98823 -18.36396
   7 | 11392 | -3.91 | 1798.70 |     0 |     0 |     0 | -431.19 | 1254.71 |    0.00 |     0 | 7.69 || -0.31185 0.18539 -0.12071 -0.43131 8.21604 -4.12585
   8 | 11326 | -2.99 | 1466.90 |     0 |     0 |     0 | -161.57 | 1182.99 |    0.00 |     0 |11.84 || -0.01101 0.28457 0.19218 -4.48913 -3.24105 -4.84620
   9 | 11316 | -2.67 | 1400.20 |     0 |     0 |     0 |  -40.91 | 1098.14 |    0.00 |     0 |10.08 || -2.16413 0.25786 1.07466 19.94863 -32.55987 -13.49041
  10 | 10010 | -3.79 | 1774.30 |     0 |     0 |     0 |   55.27 |  969.79 |    0.00 |     0 |11.21 || -2.45425 -0.55488 1.81303 37.91816 -38.83969 5.19852
  11 |  9792 | -3.53 | 1550.40 |     0 |     0 |     0 | -262.94 | 1111.59 |    0.00 |     0 | 7.69 || 0.69024 -0.35333 0.60787 5.52786 -14.57901 23.78183
  12 |  9780 | -2.85 | 1328.40 |     0 |     0 |     0 |  179.26 | 1149.36 |    0.00 |     0 | 9.86 || -2.48566 0.13440 1.30370 22.66820 -36.81870 -13.71422
  13 |  9448 | -3.15 | 1222.70 |     0 |     0 |     0 |   64.86 | 1012.64 |    0.00 |     0 |10.13 || -2.27006 0.23816 1.28754 23.57446 -35.47849 -17.74084
  14 |  9268 | -3.26 | 1402.90 |     0 |     0 |     0 | -247.36 | 1254.97 |    0.00 |     0 |11.14 || 1.03776 -0.16977 0.61028 4.91204 -20.59221 16.67404
  15 |  9082 | -3.71 | 1460.60 |     0 |     0 |     0 | -497.71 | 1328.78 |    0.00 |     0 |11.45 || -0.21613 -0.35437 -0.09613 2.50991 -0.17123 6.17007
  16 |  8952 | -4.09 | 2020.20 |     0 |     0 |     0 | -699.46 | 1359.37 |    0.00 |     0 |10.56 || -0.43498 0.34864 -0.49406 10.71166 12.62394 -14.73770
  17 |  8916 | -2.52 | 1073.20 |     0 |     0 |     0 |  -92.15 |  875.43 |    0.00 |     0 | 6.41 || -1.39971 1.34276 -1.88266 23.28591 -23.13104 -16.93731
  18 |  8894 | -2.61 | 1144.40 |     0 |     0 |     0 |   33.94 |  962.26 |    0.00 |     0 |10.74 || -2.29662 0.23168 1.25642 22.30141 -35.50428 -22.96082
  19 |  8866 | -4.68 | 2183.30 |     0 |     0 |     0 | -562.89 | 1473.55 |    0.00 |     0 |11.03 || -0.12067 0.14027 -0.28861 3.93503 8.10551 -5.07887
  20 |  8844 | -3.20 | 1382.80 |     0 |     0 |     0 |   82.18 |  983.70 |    0.00 |     0 |11.86 || -2.41308 -0.42852 1.69890 33.18337 -41.24862 1.73580
  21 |  8764 | -2.74 | 1149.50 |     0 |     0 |     0 |    4.83 |  727.01 |    0.00 |     0 |11.90 || -1.40137 -0.24619 1.50688 16.55015 -41.50573 -10.83857
  22 |  8746 | -3.86 | 1543.30 |     0 |     0 |     0 | -325.30 | 1047.87 |    0.00 |     0 | 7.68 || -1.53639 -0.00451 -0.79386 13.76783 10.51396 -16.79031
