*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1034 1919 11.2222310616
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFbot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11990 | -3.68 | 1649.10 |     0 |     0 |     0 |  148.34 | 1024.19 |    0.00 |     0 |10.84 || -2.78791 0.59805 0.97767 17.10193 -27.73606 -22.92960
   2 | 10792 | -3.22 | 1599.50 |     0 |     0 |     0 |   14.97 | 1083.41 |    0.00 |     0 |11.16 || -2.75635 0.63025 0.78387 13.27316 -24.00971 -22.18457
   3 | 10414 | -2.62 | 1279.00 |     0 |     0 |     0 |  216.14 |  941.98 |    0.00 |     0 |10.76 || -2.61989 0.37088 1.14469 17.34897 -33.71234 -19.87479
   4 |  9494 | -2.98 | 1417.80 |     0 |     0 |     0 |  219.19 |  921.54 |    0.00 |     0 | 8.24 || -2.37947 0.24812 1.16870 21.19358 -34.23788 -15.97648
   5 |  9126 | -2.56 | 1162.00 |     0 |     0 |     0 |  260.92 |  861.13 |    0.00 |     0 |11.04 || -2.57258 0.34316 1.24273 21.57642 -35.20554 -20.88145
   6 |  9082 | -3.16 | 1274.40 |     0 |     0 |     0 | -115.47 |  782.39 |    0.00 |     0 | 6.17 || 0.64108 1.22265 1.72899 16.01305 -27.50679 -8.26973
   7 |  8570 | -3.72 | 1418.50 |     0 |     0 |     0 | -545.45 |  860.53 |    0.00 |     0 | 4.35 || 0.22135 -0.61869 0.80738 5.47409 -4.27866 20.75320
   8 |  8544 | -3.96 | 1498.00 |     0 |     0 |     0 | -109.96 | 1104.38 |    0.00 |     0 | 8.84 || -1.02379 -0.57713 -0.42115 8.23422 -0.02138 5.38079
   9 |  8462 | -3.10 | 1110.00 |     0 |     0 |     0 |  166.04 |  955.94 |    0.00 |     0 |10.89 || -2.70392 0.32375 1.10622 14.94510 -33.84103 -16.49730
  10 |  8436 | -3.13 | 1196.90 |     0 |     0 |     0 |   -7.04 |  731.64 |    0.00 |     0 | 8.90 || -2.23798 0.25433 -2.20926 16.41943 1.50161 -11.74305
  11 |  8364 | -2.53 |  992.20 |     0 |     0 |     0 | -235.20 |  728.43 |    0.00 |     0 | 5.32 || -0.15252 -0.63198 0.54369 0.48798 1.58642 16.57647
  12 |  8238 | -3.60 | 1343.00 |     0 |     0 |     0 | -298.09 |  817.70 |    0.00 |     0 | 7.57 || -0.21102 -0.20314 1.78937 4.06669 -23.99130 11.17906
  13 |  8184 | -3.28 | 1205.80 |     0 |     0 |     0 | -196.76 |  881.43 |    0.00 |     0 | 7.44 || -1.43416 -0.60417 -0.09663 -2.03343 6.55210 -0.00567
  14 |  8074 | -4.12 | 1719.00 |     0 |     0 |     0 | -227.83 | 1102.31 |    0.00 |     0 | 9.87 || -2.29680 0.59210 -0.44953 11.37832 -5.34682 -22.82147
  15 |  7968 | -2.74 |  996.30 |     0 |     0 |     0 |  226.68 |  678.07 |    0.00 |     0 |10.66 || -1.56679 -0.71770 1.70607 11.80552 -44.74644 7.66550
  16 |  7862 | -3.93 | 1685.20 |     0 |     0 |     0 |  252.96 | 1090.92 |    0.00 |     0 | 6.53 || -2.31761 0.29007 0.96324 15.77217 -30.80880 -15.56141
  17 |  7784 | -2.55 |  998.20 |     0 |     0 |     0 | -165.31 |  663.38 |    0.00 |     0 | 5.06 || -1.87217 1.38232 -2.20990 13.16098 -19.78693 -17.97206
  18 |  7758 | -3.35 | 1080.40 |     0 |     0 |     0 |   94.44 |  862.62 |    0.00 |     0 | 9.13 || -2.24985 0.38670 0.18374 3.94672 -14.14811 -23.29386
  19 |  7746 | -3.14 | 1118.70 |     0 |     0 |     0 | -184.04 |  673.91 |    0.00 |     0 | 6.04 || -2.55719 0.99609 -1.27227 11.79606 -12.21558 -20.55235
  20 |  7742 | -2.91 | 1118.80 |     0 |     0 |     0 | -289.81 |  747.62 |    0.00 |     0 | 8.05 || 2.41041 1.14168 0.10521 10.75115 -23.98799 -15.27531
  21 |  7734 | -4.25 | 1348.60 |     0 |     0 |     0 | -310.29 |  914.93 |    0.00 |     0 | 8.11 || -1.65659 -0.17477 -0.38584 1.85982 8.42157 -10.50566
  22 |  7702 | -3.42 | 1337.70 |     0 |     0 |     0 |   19.67 | 1052.17 |    0.00 |     0 |10.93 || -2.42174 0.54581 0.11985 6.39407 -12.66298 -22.41375
  23 |  7666 | -2.90 |  999.70 |     0 |     0 |     0 |  -57.70 |  978.30 |    0.00 |     0 |11.06 || -0.27935 -0.28651 -0.29782 -0.60825 5.00891 7.51826
  24 |  7624 | -4.25 | 1418.20 |     0 |     0 |     0 | -107.44 |  882.35 |    0.00 |     0 | 5.66 || -2.04790 0.38984 -0.72380 12.69946 -2.82124 -23.06187
  25 |  7622 | -3.05 | 1141.10 |     0 |     0 |     0 | -193.39 |  870.79 |    0.00 |     0 | 7.93 || -1.85630 0.00077 -0.45090 3.02481 4.90381 -15.13334
  26 |  7622 | -4.04 | 1150.10 |     0 |     0 |     0 | -435.17 |  793.54 |    0.00 |     0 | 4.33 || 0.43078 -0.40418 1.01068 5.07049 -10.80455 21.87922
  27 |  7594 | -2.91 | 1075.30 |     0 |     0 |     0 |   17.20 |  910.24 |    0.00 |     0 | 9.73 || -0.65000 -0.83338 -0.16546 8.35727 -1.38193 7.65660
  28 |  7592 | -3.05 | 1097.40 |     0 |     0 |     0 |   94.07 |  862.84 |    0.00 |     0 | 9.97 || -0.29946 -0.91310 1.93217 1.01585 -17.95073 15.49177
  29 |  7588 | -3.44 | 1370.70 |     0 |     0 |     0 |  150.95 |  927.39 |    0.00 |     0 | 6.33 || 0.16479 0.83764 2.26974 20.58006 -29.29301 -2.93511
  30 |  7506 | -2.83 |  956.70 |     0 |     0 |     0 | -228.21 |  683.12 |    0.00 |     0 | 6.76 || 1.98064 1.05559 0.24111 5.55898 -24.45143 -10.52324
  31 |  7452 | -2.95 | 1100.80 |     0 |     0 |     0 |  172.68 |  785.20 |    0.00 |     0 |10.92 || -2.15398 0.23934 1.13536 19.72201 -34.57594 -19.63675
  32 |  7362 | -3.13 | 1029.70 |     0 |     0 |     0 |  253.81 |  700.77 |    0.00 |     0 | 6.56 || -0.70503 -0.79081 2.03995 4.72088 -34.79523 11.53353
  33 |  7360 | -3.27 | 1219.50 |     0 |     0 |     0 |  134.99 |  865.62 |    0.00 |     0 | 9.46 || -1.17498 -1.05831 -0.58637 12.37251 0.30192 7.62377
  34 |  7360 | -3.79 | 1174.60 |     0 |     0 |     0 | -440.96 |  664.65 |    0.00 |     0 | 5.00 || 0.03100 -0.35941 1.03459 0.61670 -10.79069 16.70802
  35 |  7348 | -3.63 | 1209.80 |     0 |     0 |     0 |  -83.32 |  748.48 |    0.00 |     0 | 9.70 || -0.07507 -1.18280 1.69509 2.57575 -6.29898 16.75633
  36 |  7340 | -3.22 | 1052.40 |     0 |     0 |     0 |  -20.78 |  791.54 |    0.00 |     0 | 7.25 || -0.80929 0.43567 1.97714 2.45227 -32.06411 -11.02531
  37 |  7306 | -3.94 | 1404.20 |     0 |     0 |     0 |  359.92 |  925.23 |    0.00 |     0 |10.87 || 3.10789 0.49116 1.15558 23.09694 -32.43344 -19.33448
  38 |  7298 | -3.15 |  988.70 |     0 |     0 |     0 |  192.25 |  856.99 |    0.00 |     0 | 9.93 || -2.62431 0.16572 0.94333 10.78349 -33.98832 -17.38489
  39 |  7296 | -3.49 | 1161.00 |     0 |     0 |     0 |  449.65 |  781.62 |    0.00 |     0 | 8.53 || 0.07772 0.01157 -2.90978 32.07714 -27.46396 9.17463
  40 |  7280 | -3.72 | 1105.60 |     0 |     0 |     0 | -143.30 |  888.09 |    0.00 |     0 |10.26 || -2.14312 0.33870 -1.95299 16.87629 -1.42411 -9.05947
  41 |  7266 | -3.11 | 1158.50 |     0 |     0 |     0 |  335.99 |  698.05 |    0.00 |     0 |10.87 || 0.02369 0.20518 -2.46231 45.91608 -22.81510 10.77716
  42 |  7216 | -3.58 |  998.70 |     0 |     0 |     0 | -146.19 |  753.18 |    0.00 |     0 | 9.00 || -1.34619 -0.74527 0.38074 -7.20880 -1.79159 4.20511
  43 |  7152 | -4.41 | 1367.10 |     0 |     0 |     0 | -657.65 |  794.10 |    0.00 |     0 | 6.03 || 0.18119 -0.60440 1.10771 5.60142 -7.91959 21.44440
  44 |  7152 | -3.60 | 1173.30 |     0 |     0 |     0 |  390.79 |  826.98 |    0.00 |     0 |10.99 || -1.02536 0.94299 -1.98978 36.30478 -24.52367 -9.64424
  45 |  7134 | -3.54 | 1014.00 |     0 |     0 |     0 |  137.46 |  795.83 |    0.00 |     0 | 8.81 || -2.54156 0.15285 -2.29007 13.95204 6.41527 -11.05899
  46 |  7120 | -3.45 | 1214.50 |     0 |     0 |     0 | -227.61 | 1005.33 |    0.00 |     0 |10.44 || -0.31570 -0.58061 -0.20698 5.54164 0.19127 7.71748
  47 |  7086 | -2.90 | 1137.10 |     0 |     0 |     0 |  343.37 |  668.64 |    0.00 |     0 |10.95 || -0.65355 -0.58191 2.60910 26.62645 -44.10168 14.90491
  48 |  7064 | -3.00 | 1051.10 |     0 |     0 |     0 |  -91.23 |  693.67 |    0.00 |     0 | 9.61 || -0.98447 0.62052 2.08307 4.07542 -31.53445 -19.44344
  49 |  7048 | -2.84 |  996.30 |     0 |     0 |     0 |   47.15 |  713.02 |    0.00 |     0 | 8.44 || 1.50471 0.90501 1.16418 15.99076 -30.28449 -6.39395
  50 |  7040 | -2.45 |  926.80 |     0 |     0 |     0 | -126.85 |  580.15 |    0.00 |     0 | 7.88 || 2.18817 0.85906 -0.26677 -2.79584 -18.49928 -10.86595
