*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	1030 1919 23.9119188272
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/1WM1cap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3ANSbot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3ANSbot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11352 | -2.85 | 1502.00 |     0 |     0 |     0 |  -12.52 |  972.59 |    0.00 |     0 | 7.97 || -1.92923 -0.13580 0.73536 7.89142 -26.33469 -1.97546
   2 | 10732 | -3.39 | 1581.80 |     0 |     0 |     0 | -457.32 | 1029.68 |    0.00 |     0 | 8.75 || -0.46533 -0.66103 0.35625 3.32023 -0.64505 19.66785
   3 | 10678 | -3.38 | 1403.90 |     0 |     0 |     0 |    1.98 |  878.56 |    0.00 |     0 |10.40 || -2.33987 -0.19729 2.71661 54.07432 -8.47579 6.33542
   4 | 10548 | -3.03 | 1461.20 |     0 |     0 |     0 |  -17.55 |  935.36 |    0.00 |     0 | 8.41 || -2.84997 -0.64239 -2.81519 51.99400 3.96024 17.85009
   5 | 10480 | -2.76 | 1311.00 |     0 |     0 |     0 | -332.44 | 1093.86 |    0.00 |     0 |10.83 || -0.82527 -0.47516 0.26093 -0.12383 -4.15258 19.08652
   6 | 10314 | -2.53 | 1231.30 |     0 |     0 |     0 |   42.15 |  836.50 |    0.00 |     0 |12.40 || -2.26126 -0.20346 3.03861 57.86651 -2.56930 5.71095
   7 | 10290 | -2.87 | 1574.70 |     0 |     0 |     0 | -170.03 |  951.22 |    0.00 |     0 |15.36 || -1.89251 -0.81545 1.85113 35.67312 -22.63667 20.00788
   8 | 10230 | -3.18 | 1463.50 |     0 |     0 |     0 | -216.20 |  923.51 |    0.00 |     0 | 8.22 || -2.08184 -0.09905 0.77327 10.30565 -26.94307 -1.29351
   9 | 10132 | -3.15 | 1484.90 |     0 |     0 |     0 |  143.20 | 1065.71 |    0.00 |     0 |11.99 || -2.72911 -0.44022 -2.03157 34.94093 19.82754 13.75375
  10 | 10026 | -3.34 | 1434.00 |     0 |     0 |     0 |  -68.19 | 1065.22 |    0.00 |     0 | 7.15 || -1.54239 -0.58734 0.94080 17.81315 -26.06410 10.53602
  11 | 10002 | -3.06 | 1409.30 |     0 |     0 |     0 |    5.27 |  927.29 |    0.00 |     0 |22.53 || -2.98331 -1.31628 2.19999 28.27074 -12.61837 31.13624
  12 |  9998 | -3.62 | 1466.50 |     0 |     0 |     0 | -106.24 |  981.11 |    0.00 |     0 | 5.01 || -1.86612 -0.21846 0.90802 12.35422 -29.79932 0.07704
  13 |  9944 | -2.95 | 1358.30 |     0 |     0 |     0 | -133.44 |  805.79 |    0.00 |     0 |14.19 || -1.53086 0.00426 2.16932 46.80362 -32.85088 -7.40618
  14 |  9940 | -3.75 | 1669.60 |     0 |     0 |     0 | -434.76 | 1200.70 |    0.00 |     0 |14.03 || -0.65806 -1.07356 0.30302 18.37084 -11.88556 19.03584
  15 |  9940 | -3.56 | 1566.70 |     0 |     0 |     0 | -399.87 | 1235.29 |    0.00 |     0 |13.87 || -0.00279 -0.95515 0.84536 18.26630 -16.30046 22.34493
  16 |  9900 | -3.67 | 1625.50 |     0 |     0 |     0 | -272.20 |  956.50 |    0.00 |     0 | 7.32 || -2.18997 -0.44656 1.84362 37.91282 -29.70852 10.18662
  17 |  9840 | -2.83 | 1304.10 |     0 |     0 |     0 | -173.47 |  830.23 |    0.00 |     0 | 9.90 || -0.12951 -0.36633 0.84869 5.46877 -17.52555 30.27538
  18 |  9834 | -3.20 | 1254.10 |     0 |     0 |     0 | -122.52 |  758.09 |    0.00 |     0 | 8.53 || 2.76563 -0.33872 3.08656 53.65648 -0.53973 12.57721
  19 |  9810 | -3.20 | 1409.30 |     0 |     0 |     0 |  195.45 | 1081.01 |    0.00 |     0 |23.34 || -3.07466 -0.35880 -1.65181 30.03360 26.68333 10.39170
  20 |  9796 | -2.84 | 1242.90 |     0 |     0 |     0 |   44.46 |  897.78 |    0.00 |     0 |22.80 || 2.20388 -0.17667 3.07578 58.28531 -6.50959 5.42481
