*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	990 1643 17.1768174584
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/2WUFcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12526 | -2.81 | 1523.30 |     0 |     0 |     0 | -193.16 | 1359.64 |    0.00 |     0 |16.57 || -0.03117 0.03395 0.03044 -1.88336 1.81305 -1.04444
   2 | 12202 | -3.15 | 1745.40 |     0 |     0 |     0 |   -5.54 | 1223.08 |    0.00 |     0 | 7.72 || -1.87938 -0.22442 0.76862 3.14474 -24.78342 -3.11372
   3 | 11778 | -3.18 | 1756.60 |     0 |     0 |     0 |   53.95 | 1038.43 |    0.00 |     0 |16.89 || -0.64890 -1.25968 -2.24738 40.27066 1.03279 26.52597
   4 | 11652 | -3.06 | 1673.10 |     0 |     0 |     0 |  -24.47 | 1202.41 |    0.00 |     0 |15.04 || -1.48469 -0.68570 0.86093 13.91286 -23.25780 9.02252
   5 | 11628 | -3.12 | 1664.00 |     0 |     0 |     0 |  -62.08 | 1151.18 |    0.00 |     0 |10.37 || -1.95346 -0.09722 0.72877 0.67879 -23.77553 -9.10518
   6 | 11266 | -3.47 | 2198.90 |     0 |     0 |     0 | -147.31 | 1484.05 |    0.00 |     0 |16.99 || -2.58719 0.16358 0.69241 8.71077 -24.60492 -16.97742
   7 | 11154 | -3.17 | 1743.60 |     0 |     0 |     0 |   -5.83 | 1118.05 |    0.00 |     0 | 9.42 || -1.34499 -0.01779 1.10746 5.27701 -30.01728 -15.67141
   8 | 11044 | -2.43 | 1307.80 |     0 |     0 |     0 |   84.79 |  926.43 |    0.00 |     0 |16.36 || -2.24198 0.45522 1.30529 24.92400 -30.00532 -27.89588
   9 | 10958 | -3.60 | 1708.50 |     0 |     0 |     0 |  -20.19 | 1204.49 |    0.00 |     0 |12.60 || -2.25834 0.31189 0.49189 7.11375 -18.64285 -14.10232
  10 | 10894 | -3.46 | 1503.50 |     0 |     0 |     0 |  -77.26 | 1088.49 |    0.00 |     0 |16.86 || -0.41158 0.14731 -0.53954 6.34131 20.71164 -4.58931
