*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	990 1945 14.4846681357
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/3ANScap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/3ANScap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13216 | -3.29 | 2126.60 |     0 |     0 |     0 |  129.69 | 1230.26 |    0.00 |     0 |13.61 || -1.68370 -0.44896 0.45628 8.06999 -16.76985 8.84829
   2 | 12658 | -3.54 | 1892.90 |     0 |     0 |     0 |   69.98 | 1106.63 |    0.00 |     0 | 9.09 || -1.54666 0.31126 0.92038 18.72453 -25.98584 -15.60295
   3 | 11594 | -3.16 | 1637.10 |     0 |     0 |     0 |   18.01 | 1108.46 |    0.00 |     0 |13.90 || -1.89673 -0.29081 0.39634 9.12462 -16.73857 6.20447
   4 | 11498 | -3.56 | 1899.20 |     0 |     0 |     0 |  -99.09 | 1024.81 |    0.00 |     0 |10.99 || -2.54171 -0.52917 1.68422 33.21289 -22.92648 12.79234
   5 | 11480 | -3.62 | 1914.00 |     0 |     0 |     0 |   61.73 | 1079.72 |    0.00 |     0 |13.62 || -2.47986 0.77638 1.29528 27.30568 -24.32755 -18.77704
   6 | 11402 | -3.07 | 1502.30 |     0 |     0 |     0 |  166.76 | 1075.73 |    0.00 |     0 |11.01 || -1.98233 0.66003 0.97847 22.92875 -24.72598 -19.82031
   7 | 11398 | -3.47 | 1672.40 |     0 |     0 |     0 | -125.92 | 1054.25 |    0.00 |     0 |11.54 || -3.05875 -0.93491 2.69025 37.35729 -10.82526 20.88276
   8 | 11326 | -3.13 | 1607.20 |     0 |     0 |     0 |  121.87 | 1042.79 |    0.00 |     0 | 9.60 || -1.68037 0.48212 0.81191 17.83180 -24.28192 -18.79050
   9 | 11272 | -3.58 | 1798.30 |     0 |     0 |     0 | -248.34 | 1087.67 |    0.00 |     0 |13.72 || -1.98488 -0.44769 -2.51906 36.21406 11.36958 10.94057
  10 | 11220 | -3.06 | 1463.20 |     0 |     0 |     0 |  -62.62 | 1003.61 |    0.00 |     0 |14.07 || 2.95850 -1.08807 2.25202 30.00358 -13.89666 23.27920
  11 | 11078 | -3.55 | 1777.90 |     0 |     0 |     0 |  127.74 | 1085.03 |    0.00 |     0 |10.27 || -1.58781 0.32199 1.00302 22.86010 -26.70221 -13.61398
  12 | 10956 | -3.31 | 1532.50 |     0 |     0 |     0 |   67.22 | 1084.49 |    0.00 |     0 |10.74 || -1.83959 -0.23624 0.45342 5.87924 -18.81065 3.09949
  13 | 10744 | -3.34 | 1550.40 |     0 |     0 |     0 |   37.83 |  995.91 |    0.00 |     0 | 7.96 || -2.85041 -0.30560 2.02485 38.59940 -21.77480 9.98023
  14 | 10640 | -2.98 | 1510.10 |     0 |     0 |     0 |  -28.66 |  970.06 |    0.00 |     0 |13.47 || -2.61050 -0.79220 1.46140 30.63228 -21.13473 17.57776
  15 | 10580 | -3.93 | 1738.30 |     0 |     0 |     0 |  117.43 | 1079.77 |    0.00 |     0 | 6.91 || -1.71099 0.19820 0.94857 20.72545 -26.99409 -10.50011
  16 | 10554 | -3.58 | 1481.00 |     0 |     0 |     0 |   48.33 | 1028.70 |    0.00 |     0 |11.35 || -2.28903 0.57305 0.98978 20.76157 -25.80830 -17.65877
  17 | 10448 | -3.44 | 1766.10 |     0 |     0 |     0 |   22.74 | 1065.77 |    0.00 |     0 |12.51 || -1.28512 0.14578 0.81010 17.48516 -25.40322 -11.35964
  18 | 10306 | -3.91 | 1652.60 |     0 |     0 |     0 |  -32.19 | 1104.95 |    0.00 |     0 |13.37 || -2.55633 -0.76182 1.36418 27.04933 -23.90621 16.99536
  19 | 10274 | -2.95 | 1520.90 |     0 |     0 |     0 | -102.39 |  977.86 |    0.00 |     0 | 9.24 || -2.71017 -0.29303 1.69855 34.19729 -23.12322 9.58179
  20 | 10180 | -3.73 | 1907.50 |     0 |     0 |     0 | -103.21 | 1193.51 |    0.00 |     0 |14.29 || -2.56418 0.49564 1.58694 30.65898 -28.93826 -16.03545
  21 | 10128 | -2.31 | 1170.10 |     0 |     0 |     0 |  128.50 | 1002.71 |    0.00 |     0 |13.49 || -2.05872 -0.04008 0.41704 7.37459 -17.90866 1.97836
  22 |  9998 | -4.33 | 1699.90 |     0 |     0 |     0 |  -67.66 | 1010.48 |    0.00 |     0 |10.39 || -2.46798 -0.35101 1.62966 31.90347 -26.14576 9.83292
  23 |  9966 | -3.10 | 1333.80 |     0 |     0 |     0 |  109.52 |  928.81 |    0.00 |     0 |14.01 || -2.67972 0.71707 1.26070 26.70573 -25.95149 -16.88209
  24 |  9896 | -3.69 | 1793.80 |     0 |     0 |     0 | -238.61 | 1079.10 |    0.00 |     0 | 9.48 || -2.37752 -0.65775 -2.53133 35.86153 10.46504 14.45699
  25 |  9864 | -3.37 | 1674.90 |     0 |     0 |     0 |  202.66 | 1083.98 |    0.00 |     0 | 6.43 || -1.98639 0.43915 1.07423 24.42334 -26.48012 -15.00146
  26 |  9762 | -3.71 | 1397.10 |     0 |     0 |     0 |   71.68 |  944.18 |    0.00 |     0 |12.27 || -2.77774 0.15027 2.46055 50.52460 -16.60848 -1.68381
  27 |  9754 | -3.12 | 1459.50 |     0 |     0 |     0 |   31.55 |  972.16 |    0.00 |     0 |13.97 || -2.57082 0.51631 1.06590 21.17560 -27.24051 -16.53007
  28 |  9748 | -2.48 | 1144.10 |     0 |     0 |     0 |  -21.09 |  861.81 |    0.00 |     0 |10.56 || -2.64511 -0.58517 1.80976 36.47717 -20.34109 15.47922
  29 |  9720 | -2.63 | 1160.40 |     0 |     0 |     0 |  282.05 |  844.32 |    0.00 |     0 |14.24 || -0.50936 0.73044 2.96757 14.46482 -21.37799 -12.30474
  30 |  9694 | -4.64 | 1700.80 |     0 |     0 |     0 |  446.53 | 1215.52 |    0.00 |     0 | 9.23 || -0.94101 0.53502 2.35259 8.98441 -20.46515 -15.05641
  31 |  9594 | -3.62 | 1558.50 |     0 |     0 |     0 |  107.97 | 1148.19 |    0.00 |     0 |13.13 || -1.82173 0.52605 -0.02570 9.28909 -9.85828 -8.26934
  32 |  9540 | -2.65 | 1228.30 |     0 |     0 |     0 |  252.27 |  949.12 |    0.00 |     0 | 7.29 || 0.03468 0.52377 1.01284 -5.68048 -17.30509 -1.38802
  33 |  9450 | -3.50 | 1598.00 |     0 |     0 |     0 | -262.42 | 1056.80 |    0.00 |     0 | 8.03 || -1.20557 -0.28691 -0.82640 10.28850 7.19723 -10.42025
