*********************************************************
Program parameters

ACE_EnergyTermWeight	(Str)	1.0
COM_distanceTermWeight	(Str)	1.07
HBEnergyTermWeight	(Str)	1.0
attrVdWEnergyTermWeight	(Str)	1.01
baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 4.0
confProbEnergyTermWeight	(Str)	0.1
desolvationParams	(Str)	500.0 1.0
distanceConstraints	(Str)	990 1451 18.0883196013
elecEnergyTermWeight	(Str)	0.1
energyDistCutoff	(Str)	6.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb.ms
ligandPdb	(Str)	/home/svensken/octathorp/patchdock/3GZJcap.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
piStackEnergyTermWeight	(Str)	0.0
protLib	(Str)	/u1/home/svensken/PatchDock/chem.lib
radiiScaling	(Str)	0.8
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb.ms
receptorPdb	(Str)	/home/svensken/octathorp/patchdock/3B12bot.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
repVdWEnergyTermWeight	(Str)	0.5
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0
vdWTermType	(Str)	1

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13926 | -3.12 | 1931.30 |     0 |     0 |     0 | -289.61 | 1349.40 |    0.00 |     0 |18.03 || -0.48917 0.21786 -0.50706 6.28942 14.18214 -11.46813
   2 | 13322 | -2.79 | 1757.00 |     0 |     0 |     0 | -155.84 | 1384.19 |    0.00 |     0 |16.68 || 0.04208 -0.23172 0.10181 0.82276 -0.05719 5.24130
   3 | 13302 | -3.78 | 1875.30 |     0 |     0 |     0 |  -81.70 | 1383.29 |    0.00 |     0 |17.48 || -0.11421 0.08264 -0.18233 -0.47989 7.79635 -2.52963
   4 | 12910 | -3.12 | 2110.80 |     0 |     0 |     0 | -151.71 | 1374.72 |    0.00 |     0 |17.96 || -0.32580 0.29518 -0.29795 3.13919 12.86113 -11.09339
   5 | 12608 | -3.60 | 2078.60 |     0 |     0 |     0 |   49.59 | 1187.80 |    0.00 |     0 |15.63 || -1.68692 0.53020 1.12504 18.26404 -25.47714 -27.77276
   6 | 12556 | -2.93 | 1848.80 |     0 |     0 |     0 |  -33.45 | 1147.75 |    0.00 |     0 |13.19 || -3.11264 -0.60303 2.95533 54.33815 -4.34506 12.77767
   7 | 12458 | -2.97 | 1834.50 |     0 |     0 |     0 |  -63.21 | 1072.35 |    0.00 |     0 |18.03 || -2.93869 0.50435 1.86529 40.07419 -28.31692 -22.32740
   8 | 11824 | -3.46 | 2092.30 |     0 |     0 |     0 |  -44.63 | 1172.71 |    0.00 |     0 |16.21 || -2.43795 0.59173 1.69553 34.46205 -27.37978 -26.00322
   9 | 11754 | -3.89 | 1758.80 |     0 |     0 |     0 |   34.16 | 1062.47 |    0.00 |     0 |13.06 || -2.23414 0.04214 0.45714 -0.44460 -17.65312 -11.73586
  10 | 11650 | -2.92 | 1532.00 |     0 |     0 |     0 |   16.64 | 1152.07 |    0.00 |     0 |17.30 || -2.40897 0.22351 0.37530 0.90194 -15.87588 -18.14837
