rmsd,cst,nocst,filename
182.311782837,2097.74372779,-37.17282,10/manual_0.pdb
160.148269653,-33.76215,-33.76215,10/manual_1.pdb
166.881713867,-34.94195,-34.94195,10/manual_2.pdb
157.438293457,-36.114,-36.114,10/manual_3.pdb
185.171463013,-34.30948,-34.30948,10/manual_4.pdb
0.0,-70.71862,-70.71862,10/manual_5.pdb
205.78755188,-32.79678,-32.79678,10/manual_6.pdb
12.967256546,-40.5939,-40.5939,10/manual_7.pdb
187.229904175,-29.58758,-29.58758,10/manual_8.pdb
196.515350342,-34.80894,-34.80894,10/manual_9.pdb
18.719575882,-31.0483741127,-37.48966,11/manual_0.pdb
184.077316284,-32.0969,-32.0969,11/manual_1.pdb
22.1313457489,-31.62637,-31.62637,11/manual_2.pdb
140.925857544,-34.1329,-34.1329,11/manual_3.pdb
179.271392822,-33.98333,-33.98333,11/manual_4.pdb
174.656768799,-35.78708,-35.78708,11/manual_5.pdb
188.200073242,-31.63556,-31.63556,11/manual_6.pdb
181.335968018,-30.76258,-30.76258,11/manual_7.pdb
188.7605896,-36.00247,-36.00247,11/manual_8.pdb
0.0,-74.55714,-74.55714,11/manual_9.pdb
18.4377498627,2088.65856345,-30.74584,12/manual_0.pdb
30.2613697052,-34.6034,-34.6034,12/manual_1.pdb
17.5760650635,-35.08138,-35.08138,12/manual_2.pdb
35.4217338562,-34.51368,-34.51368,12/manual_3.pdb
22.7912807465,-32.49643,-32.49643,12/manual_4.pdb
25.034029007,-28.38052,-28.38052,12/manual_5.pdb
19.4223079681,-33.39502,-33.39502,12/manual_6.pdb
0.0,-36.03567,-36.03567,12/manual_7.pdb
11.238694191,-33.18545,-33.18545,12/manual_8.pdb
8.3746919632,-30.97287,-30.97287,12/manual_9.pdb
161.074081421,1652.80736456,-32.98033,13/manual_0.pdb
162.553344727,-30.91566,-30.91566,13/manual_1.pdb
14.7614946365,-38.83743,-38.83743,13/manual_2.pdb
188.988845825,-31.57929,-31.57929,13/manual_3.pdb
185.44152832,-37.1398,-37.1398,13/manual_4.pdb
200.96661377,-35.39479,-35.39479,13/manual_5.pdb
16.6392974854,-34.86643,-34.86643,13/manual_6.pdb
185.704147339,-32.38804,-32.38804,13/manual_7.pdb
0.0,-69.51951,-69.51951,13/manual_8.pdb
196.90927124,-31.43638,-31.43638,13/manual_9.pdb
173.197998047,2012.06138974,-33.16391,14/manual_0.pdb
