dir,dist1,dist2
3GZJbot.pdb_2WUFcap.pdb,29.1250535793,28.0188371457
3GZJbot.pdb_2WUFcap.pdb,35.9917971349,28.0179190162
3GZJbot.pdb_2WUFcap.pdb,23.1830029548,28.0179171246
3GZJbot.pdb_2WUFcap.pdb,22.6655294886,28.0181803835
3GZJbot.pdb_2WUFcap.pdb,24.7303972875,28.0184529908
3GZJbot.pdb_2WUFcap.pdb,32.8980025229,28.0186681696
3GZJbot.pdb_2WUFcap.pdb,21.6164602329,28.0174731552
3GZJbot.pdb_2WUFcap.pdb,24.5727824025,28.0182190904
3GZJbot.pdb_2WUFcap.pdb,13.1398698243,28.0178277887
3GZJbot.pdb_2WUFcap.pdb,29.6035829757,28.018174423
3GZJbot.pdb_2WUFcap.pdb,27.3070436335,28.0189613298
3GZJbot.pdb_2WUFcap.pdb,26.189003742,28.0179623456
3GZJbot.pdb_2WUFcap.pdb,25.6371838157,28.0192149961
3GZJbot.pdb_2WUFcap.pdb,28.7583244644,28.0181233668
3GZJbot.pdb_2WUFcap.pdb,18.9438119712,28.0181873968
3GZJbot.pdb_2WUFcap.pdb,32.289292188,28.0171594742
3GZJbot.pdb_2WUFcap.pdb,19.9594441806,28.0179165714
3GZJbot.pdb_2WUFcap.pdb,35.2094701465,28.0186758074
3GZJbot.pdb_2WUFcap.pdb,27.6285068181,28.017763758
3GZJbot.pdb_2WUFcap.pdb,27.1764488666,28.0186870142
3GZJbot.pdb_2WUFcap.pdb,32.5323516057,28.0182363114
3GZJbot.pdb_2WUFcap.pdb,19.3108024432,28.0182679693
3GZJbot.pdb_2WUFcap.pdb,43.1489087695,28.0182103283
3GZJbot.pdb_2WUFcap.pdb,31.5866982447,28.0190003034
3GZJbot.pdb_2WUFcap.pdb,23.4457195667,28.0176746537
3GZJbot.pdb_2WUFcap.pdb,21.0793159519,28.0184435506
3GZJbot.pdb_2WUFcap.pdb,25.3923166923,28.0180816795
3GZJbot.pdb_2WUFcap.pdb,25.5548957932,28.0185877767
3GZJbot.pdb_2WUFcap.pdb,28.6854055924,28.0176811496
3GZJbot.pdb_2WUFcap.pdb,21.9073139841,28.018124848
3GZJbot.pdb_2WUFcap.pdb,23.3958820522,28.0186835701
3GZJbot.pdb_2WUFcap.pdb,30.0204855057,28.018349309
3GZJbot.pdb_2WUFcap.pdb,19.8849863716,28.0185707344
3GZJbot.pdb_2WUFcap.pdb,14.3678122552,28.0185447338
3GZJbot.pdb_2WUFcap.pdb,28.8725525197,28.0185748924
3GZJbot.pdb_2WUFcap.pdb,27.9414847136,28.0186558386
3GZJbot.pdb_2WUFcap.pdb,28.3162447016,28.0179487293
3GZJbot.pdb_2WUFcap.pdb,14.6876268335,28.0190476284
3GZJbot.pdb_2WUFcap.pdb,32.8133237268,28.0176184927
3GZJbot.pdb_2WUFcap.pdb,25.8187395703,28.0185389698
3GZJbot.pdb_2WUFcap.pdb,24.733369544,28.0179378613
3GZJbot.pdb_2WUFcap.pdb,21.0638005118,28.0179395923
3GZJbot.pdb_2WUFcap.pdb,21.3687911684,28.0177107023
3GZJbot.pdb_2WUFcap.pdb,38.0595720811,28.0185420213
3GZJbot.pdb_2WUFcap.pdb,35.6682062627,28.0178355517
3GZJbot.pdb_2WUFcap.pdb,23.2796411699,28.0177201428
3GZJbot.pdb_2WUFcap.pdb,26.9397288219,28.0175386499
3GZJbot.pdb_2WUFcap.pdb,22.8688111847,28.0177085073
3GZJbot.pdb_2WUFcap.pdb,28.8216271747,28.0173686309
3GZJbot.pdb_2WUFcap.pdb,37.2118857625,28.0178492572
3GZJbot.pdb_2WUFcap.pdb,21.9931530482,28.0181920544
3GZJbot.pdb_2WUFcap.pdb,24.9505274694,28.018472942
3GZJbot.pdb_2WUFcap.pdb,20.6390041669,28.0182679158
3GZJbot.pdb_2WUFcap.pdb,25.6352754032,28.0176778838
3GZJbot.pdb_2WUFcap.pdb,24.7298972703,28.0180310158
3GZJbot.pdb_2WUFcap.pdb,20.4429252799,28.018791016
3GZJbot.pdb_2WUFcap.pdb,23.7191256373,28.0187274158
3GZJbot.pdb_2WUFcap.pdb,24.3763207027,28.0178078015
3GZJbot.pdb_2WUFcap.pdb,28.2675182851,28.0178831642
3GZJbot.pdb_2WUFcap.pdb,26.2610258939,28.0182938453
3GZJbot.pdb_2WUFcap.pdb,23.3207962343,28.0185602235
3GZJbot.pdb_2WUFcap.pdb,20.0137247658,28.0179253693
3GZJbot.pdb_2WUFcap.pdb,26.5086038486,28.0182276741
3GZJbot.pdb_2WUFcap.pdb,25.9703390043,28.0180677064
3GZJbot.pdb_2WUFcap.pdb,26.2054305441,28.0180391355
3GZJbot.pdb_2WUFcap.pdb,28.5001638767,28.0175528196
3GZJbot.pdb_2WUFcap.pdb,32.2411664956,28.0178172597
3GZJbot.pdb_2WUFcap.pdb,26.5267889689,28.0178407983
3GZJbot.pdb_2WUFcap.pdb,39.2030117976,28.018413963
3GZJbot.pdb_2WUFcap.pdb,38.8239669663,28.0179874545
3GZJbot.pdb_2WUFcap.pdb,30.569892427,28.0175897786
3GZJbot.pdb_2WUFcap.pdb,28.987608594,28.0184057184
