SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,irms,rms,description
SCORE:,11257.946,-1332.104,11292.039,733.766,3.957,-91.911,25.952,-82.229,-39.068,-24.010,-12.409,0.000,-16.936,16.887,798.723,-27.840,13.130,0.000,5.366,1WM1.trim.pdbA_0001_0001
SCORE:,6943.607,-1315.323,6986.564,723.123,3.957,-89.649,25.952,-82.229,-38.116,-24.075,-12.356,0.000,-16.930,10.642,785.219,-26.301,13.130,0.000,5.472,1WM1.trim.pdbA_0002_0001
SCORE:,6943.607,-1315.323,6986.564,723.123,3.957,-89.649,25.952,-82.229,-38.116,-24.075,-12.356,0.000,-16.930,10.642,785.219,-26.301,13.130,0.000,5.472,1WM1.trim.pdbA_0001_0001
SCORE:,1620.963,-1297.712,1651.905,719.122,3.957,-90.567,25.952,-82.229,-39.068,-24.019,-12.336,0.000,-14.221,27.883,764.286,-25.118,13.130,0.000,5.509,1WM1.trim.pdbA_0002_0001
SCORE:,3739.393,-1307.513,3786.893,721.436,3.957,-90.796,25.952,-82.229,-39.068,-24.050,-12.356,0.000,-14.815,13.192,769.760,-24.100,13.130,0.000,5.435,1WM1.trim.pdbA_0001_0001
SCORE:,1620.963,-1297.712,1651.905,719.122,3.957,-90.567,25.952,-82.229,-39.068,-24.019,-12.336,0.000,-14.221,27.883,764.286,-25.118,13.130,0.000,5.509,1WM1.trim.pdbA_0002_0001
SCORE:,11969.259,-1333.318,12037.981,739.440,3.957,-92.109,25.952,-82.229,-39.068,-24.015,-12.416,0.000,-14.501,11.656,759.740,-24.940,13.130,0.000,5.438,1WM1.trim.pdbA_0001_0001
SCORE:,7544.459,-1322.428,7585.758,725.942,3.957,-91.157,25.952,-82.229,-39.068,-24.050,-12.372,0.000,-14.880,19.394,782.009,-25.498,13.130,0.000,5.374,1WM1.trim.pdbA_0002_0001
SCORE:,7452.880,-1317.188,7493.174,729.260,3.957,-91.550,25.952,-82.229,-39.068,-24.010,-12.393,0.000,-16.871,10.685,786.475,-26.442,13.130,0.000,5.426,1WM1.trim.pdbA_0001_0001
SCORE:,14053.283,-1351.198,14087.765,742.843,3.957,-91.620,25.952,-82.229,-39.068,-24.010,-12.409,0.000,-16.404,27.002,796.308,-26.735,13.130,0.000,5.353,1WM1.trim.pdbA_0002_0001
SCORE:,18569.665,-1367.330,18632.572,753.027,3.957,-92.179,25.952,-82.229,-39.068,-24.015,-12.432,0.000,-14.034,27.974,769.573,-25.233,13.130,0.000,5.366,1WM1.trim.pdbA_0001_0001
SCORE:,4825.398,-1305.212,4851.575,720.697,3.957,-89.398,25.952,-82.229,-38.116,-24.045,-12.336,0.000,-16.335,25.332,779.744,-27.319,13.130,0.000,5.546,1WM1.trim.pdbA_0002_0001
SCORE:,11969.259,-1333.318,12037.981,739.440,3.957,-92.109,25.952,-82.229,-39.068,-24.015,-12.416,0.000,-14.501,11.656,759.740,-24.940,13.130,0.000,5.438,1WM1.trim.pdbA_0001_0001
SCORE:,15774.324,-1348.233,15836.846,743.946,3.957,-92.470,25.952,-82.229,-39.068,-24.015,-12.432,0.000,-14.567,17.858,771.988,-26.338,13.130,0.000,5.378,1WM1.trim.pdbA_0002_0001
SCORE:,3739.393,-1307.513,3786.893,721.436,3.957,-90.796,25.952,-82.229,-39.068,-24.050,-12.356,0.000,-14.815,13.192,769.760,-24.100,13.130,0.000,5.435,1WM1.trim.pdbA_0001_0001
SCORE:,7544.459,-1322.428,7585.758,725.942,3.957,-91.157,25.952,-82.229,-39.068,-24.050,-12.372,0.000,-14.880,19.394,782.009,-25.498,13.130,0.000,5.374,1WM1.trim.pdbA_0002_0001
SCORE:,7452.880,-1317.188,7493.174,729.260,3.957,-91.550,25.952,-82.229,-39.068,-24.010,-12.393,0.000,-16.871,10.685,786.475,-26.442,13.130,0.000,5.426,1WM1.trim.pdbA_0001_0001
SCORE:,11969.259,-1333.318,12037.981,739.440,3.957,-92.109,25.952,-82.229,-39.068,-24.015,-12.416,0.000,-14.501,11.656,759.740,-24.940,13.130,0.000,5.438,1WM1.trim.pdbA_0002_0001
SCORE:,9851.724,-1324.235,9904.699,737.046,3.957,-91.895,25.952,-82.229,-39.068,-23.984,-12.396,0.000,-13.907,26.347,754.266,-25.958,13.130,0.000,5.512,1WM1.trim.pdbA_0001_0001
SCORE:,1620.963,-1297.712,1651.905,719.122,3.957,-90.567,25.952,-82.229,-39.068,-24.019,-12.336,0.000,-14.221,27.883,764.286,-25.118,13.130,0.000,5.509,1WM1.trim.pdbA_0002_0001
