SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,irms,rms,description
SCORE:,481.368,-1296.797,603.563,719.336,2.666,-96.863,37.229,-78.393,-35.457,-29.982,-18.194,0.000,-10.181,77.907,628.838,-17.101,-5.202,0.000,3.566,3ANS.trim.pdbA_0001_0001
SCORE:,89.667,-1303.023,241.234,724.064,2.618,-100.172,37.229,-79.542,-35.457,-30.705,-18.427,0.000,-10.713,54.634,633.941,-16.355,-9.660,0.000,3.629,3ANS.trim.pdbA_0002_0001
SCORE:,80.854,-1304.558,229.583,719.064,2.657,-97.920,37.229,-80.468,-35.457,-30.691,-18.419,0.000,-11.721,65.609,636.592,-19.472,-11.173,0.000,3.582,3ANS.trim.pdbA_0001_0001
SCORE:,219.421,-1299.037,368.822,719.741,2.593,-98.361,37.229,-78.224,-35.457,-30.088,-18.198,0.000,-12.990,60.580,629.298,-18.112,-8.374,0.000,3.672,3ANS.trim.pdbA_0002_0001
SCORE:,568.193,-1299.303,724.435,721.960,2.620,-100.613,37.229,-80.407,-35.457,-30.361,-18.430,0.000,-11.232,55.012,626.827,-18.326,-5.761,0.000,3.636,3ANS.trim.pdbA_0001_0001
SCORE:,607.672,-1300.165,753.351,724.319,2.613,-100.482,37.229,-80.475,-35.457,-30.721,-18.252,0.000,-11.785,64.861,630.908,-18.395,-9.879,0.000,3.594,3ANS.trim.pdbA_0002_0001
SCORE:,149.580,-1304.411,294.838,727.018,2.624,-102.238,37.229,-80.023,-35.457,-31.879,-18.226,0.000,-11.865,68.879,630.666,-19.605,-7.970,0.000,3.656,3ANS.trim.pdbA_0001_0001
SCORE:,402.547,-1317.756,548.010,728.784,2.615,-97.810,37.229,-79.645,-35.457,-30.366,-18.194,0.000,-12.984,70.871,632.451,-18.330,-6.870,0.000,3.588,3ANS.trim.pdbA_0002_0001
SCORE:,1355.196,-1310.523,1509.962,726.453,2.618,-97.273,37.229,-80.716,-35.457,-29.797,-18.225,0.000,-12.532,60.458,631.462,-19.913,-8.550,0.000,3.635,3ANS.trim.pdbA_0001_0001
SCORE:,205.165,-1305.525,350.079,726.508,2.605,-100.106,37.229,-80.836,-35.457,-30.409,-18.194,0.000,-9.314,60.937,630.070,-15.452,-6.970,0.000,3.585,3ANS.trim.pdbA_0002_0001
SCORE:,787.471,-1305.815,917.180,728.324,2.605,-100.268,37.229,-79.496,-35.457,-31.229,-19.297,0.000,-12.159,83.851,626.906,-19.743,-5.161,0.000,3.552,3ANS.trim.pdbA_0001_0001
SCORE:,1490.475,-1301.570,1622.522,723.664,2.601,-98.005,37.229,-80.696,-35.457,-31.222,-18.619,0.000,-9.889,77.230,633.265,-17.984,-12.594,0.000,3.603,3ANS.trim.pdbA_0002_0001
SCORE:,75.344,-1296.329,232.179,722.053,2.581,-102.604,37.229,-80.666,-35.457,-31.211,-19.087,0.000,-11.478,57.835,628.179,-19.705,-8.175,0.000,3.610,3ANS.trim.pdbA_0001_0001
SCORE:,302.355,-1292.182,430.131,718.202,2.607,-96.143,37.229,-80.259,-35.457,-30.256,-18.164,0.000,-8.401,76.898,625.772,-20.089,-7.533,0.000,3.572,3ANS.trim.pdbA_0002_0001
SCORE:,97.781,-1302.124,245.311,721.659,2.646,-100.179,37.229,-79.424,-35.457,-31.569,-18.194,0.000,-11.937,62.595,631.147,-16.864,-7.056,0.000,3.596,3ANS.trim.pdbA_0001_0001
SCORE:,329.482,-1291.130,438.342,716.396,2.595,-97.387,37.229,-79.845,-35.457,-30.540,-18.164,0.000,-11.800,94.087,631.286,-19.507,-6.623,0.000,3.601,3ANS.trim.pdbA_0002_0001
SCORE:,117.679,-1300.267,268.278,721.526,2.623,-98.549,37.229,-79.812,-35.457,-31.033,-19.080,0.000,-11.670,59.787,630.561,-18.999,-7.457,0.000,3.600,3ANS.trim.pdbA_0001_0001
SCORE:,264.879,-1309.022,401.181,721.711,2.639,-96.637,37.229,-79.694,-35.464,-29.837,-19.408,0.000,-10.795,75.848,630.687,-18.924,-4.635,0.000,3.590,3ANS.trim.pdbA_0002_0001
SCORE:,833.409,-1298.350,967.085,723.841,2.596,-99.854,37.229,-80.447,-35.457,-30.368,-18.931,0.000,-11.773,77.714,625.223,-18.886,-6.212,0.000,3.600,3ANS.trim.pdbA_0001_0001
SCORE:,197.005,-1311.704,346.278,727.064,2.619,-97.845,37.229,-79.396,-35.457,-30.375,-18.367,0.000,-13.058,63.346,634.206,-18.271,-9.265,0.000,3.593,3ANS.trim.pdbA_0002_0001
