SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,allatom_rms,gdtmm,gdtmm1_1,gdtmm2_2,gdtmm3_3,gdtmm4_3,gdtmm7_4,irms,maxsub,maxsub2.0,rms,description
SCORE:,1548.586,-988.379,1318.715,533.174,2.816,-57.836,59.788,-57.921,-29.088,-16.685,-2.834,0.000,-5.249,66.416,734.817,-10.072,0.925,0.721,0.994,0.980,0.992,1.000,1.000,1.000,0.000,254.000,254.000,0.476,3GZJ.trim.pdbA_0001_0001
SCORE:,225.999,-997.409,193.301,537.848,2.136,-62.293,60.240,-57.196,-28.985,-16.900,-4.475,0.000,-8.503,64.491,561.751,-12.963,-5.044,0.621,0.998,0.992,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.389,3GZJ.trim.pdbA_0002_0001
SCORE:,2405.769,-999.113,2179.682,533.894,3.057,-57.699,59.788,-59.396,-29.296,-17.154,-3.202,0.000,-5.184,79.692,724.918,-8.515,4.298,0.858,0.992,0.969,0.992,1.000,1.000,1.000,0.000,254.000,254.000,0.588,3GZJ.trim.pdbA_0001_0001
SCORE:,904.450,-992.503,689.302,531.772,3.152,-56.896,59.788,-57.462,-28.543,-16.655,-2.834,0.000,-5.740,69.134,716.223,-8.226,3.936,0.610,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.349,3GZJ.trim.pdbA_0002_0001
SCORE:,1931.066,-988.060,1639.968,529.499,3.450,-55.279,59.788,-56.628,-28.376,-16.630,-2.834,0.000,-4.478,91.868,763.969,-10.089,4.897,0.806,0.994,0.980,0.992,1.000,1.000,1.000,0.000,254.000,254.000,0.553,3GZJ.trim.pdbA_0001_0001
SCORE:,1432.514,-994.228,1166.798,532.487,3.181,-57.300,59.788,-56.628,-29.287,-16.856,-2.834,0.000,-2.978,96.210,736.020,-7.022,5.162,0.656,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.338,3GZJ.trim.pdbA_0002_0001
SCORE:,726.887,-987.542,494.768,531.093,2.534,-56.965,59.788,-56.883,-28.376,-16.630,-2.834,0.000,-7.095,68.058,733.245,-11.406,5.131,0.613,0.997,0.984,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.319,3GZJ.trim.pdbA_0001_0001
SCORE:,2202.248,-993.173,1852.554,528.092,3.089,-57.812,59.788,-57.491,-28.376,-16.595,-2.834,0.000,-4.792,121.610,799.861,-7.999,6.326,0.951,0.994,0.980,0.988,1.000,1.000,1.000,0.000,254.000,254.000,0.576,3GZJ.trim.pdbA_0002_0001
SCORE:,2531.762,-997.842,2308.806,533.111,3.135,-57.228,59.788,-58.244,-29.486,-17.336,-2.834,0.000,-6.303,69.402,732.126,-9.181,3.846,0.660,0.997,0.984,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.424,3GZJ.trim.pdbA_0001_0001
SCORE:,1650.853,-991.608,1416.993,531.278,2.720,-57.322,60.100,-57.678,-28.376,-16.640,-2.834,0.000,-7.692,63.367,743.779,-9.569,4.335,0.682,0.996,0.980,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.440,3GZJ.trim.pdbA_0002_0001
SCORE:,1310.018,-997.148,1125.003,531.537,3.241,-58.213,59.788,-57.999,-29.695,-17.319,-2.834,0.000,-4.794,62.804,701.178,-10.954,5.422,0.679,0.996,0.980,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.350,3GZJ.trim.pdbA_0001_0001
SCORE:,235.855,-983.408,191.536,533.088,2.117,-60.731,59.788,-57.773,-29.176,-17.145,-3.342,0.000,-9.102,71.174,554.701,-13.866,-2.006,0.591,0.999,0.996,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.295,3GZJ.trim.pdbA_0002_0001
SCORE:,1696.278,-979.470,1456.137,526.788,2.857,-56.607,60.764,-57.424,-28.376,-16.619,-2.834,0.000,-5.945,62.721,738.993,-8.407,3.700,0.613,0.996,0.984,0.996,1.000,1.000,1.000,0.000,254.000,254.000,0.352,3GZJ.trim.pdbA_0001_0001
