SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,allatom_rms,gdtmm,gdtmm1_1,gdtmm2_2,gdtmm3_3,gdtmm4_3,gdtmm7_4,irms,maxsub,maxsub2.0,rms,description
SCORE:,250.961,-996.410,215.621,535.603,2.144,-60.340,59.788,-57.331,-28.376,-18.078,-3.366,0.000,-9.629,65.985,561.091,-12.334,-3.406,0.528,1.000,1.000,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.219,3GZJ.trim.pdbA_0001_0001
SCORE:,499.212,-984.497,439.921,536.996,2.097,-59.593,59.788,-57.320,-28.773,-17.070,-3.264,0.000,-6.722,76.473,558.203,-12.084,-4.945,0.672,0.996,0.988,0.992,1.000,1.000,1.000,0.000,254.000,254.000,0.402,3GZJ.trim.pdbA_0002_0001
SCORE:,254.655,-1008.838,205.262,545.096,2.218,-61.162,59.788,-59.181,-28.649,-17.990,-3.726,0.000,-7.877,82.039,564.393,-12.887,-3.831,0.589,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.313,3GZJ.trim.pdbA_0001_0001
SCORE:,631.079,-999.547,575.799,537.343,2.128,-57.925,59.788,-57.864,-29.748,-16.734,-2.834,0.000,-4.330,79.071,557.506,-10.245,-1.330,0.914,0.997,0.988,0.996,1.000,1.000,1.000,0.000,254.000,254.000,0.386,3GZJ.trim.pdbA_0002_0001
SCORE:,264.191,-1000.376,217.062,545.255,2.147,-63.737,59.788,-59.094,-29.344,-17.666,-5.114,0.000,-8.290,79.852,562.242,-12.565,-5.969,0.698,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.339,3GZJ.trim.pdbA_0001_0001
SCORE:,271.330,-987.866,217.568,537.687,2.091,-59.902,59.788,-56.628,-29.061,-17.309,-3.499,0.000,-6.227,73.575,554.897,-11.609,-2.177,0.676,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.371,3GZJ.trim.pdbA_0002_0001
SCORE:,291.763,-991.919,227.778,542.565,2.115,-60.437,59.788,-58.469,-29.106,-17.168,-2.867,0.000,-8.199,86.646,557.591,-12.660,-3.896,0.853,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.366,3GZJ.trim.pdbA_0001_0001
SCORE:,311.878,-989.712,269.684,539.197,2.101,-62.445,59.788,-57.061,-29.567,-17.109,-4.363,0.000,-5.742,65.453,559.165,-10.763,-6.749,0.747,0.996,0.988,0.996,0.996,1.000,1.000,0.000,254.000,254.000,0.448,3GZJ.trim.pdbA_0002_0001
SCORE:,429.190,-983.161,364.900,533.612,2.096,-59.411,59.788,-59.197,-29.005,-17.916,-2.834,0.000,-6.450,86.639,556.628,-12.452,-4.046,0.705,0.996,0.980,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.395,3GZJ.trim.pdbA_0001_0001
SCORE:,320.097,-989.943,276.061,538.443,2.103,-61.186,59.788,-56.628,-29.636,-17.169,-3.355,0.000,-7.728,66.270,558.552,-9.946,-5.528,0.775,0.997,0.988,0.996,1.000,1.000,1.000,0.000,254.000,254.000,0.406,3GZJ.trim.pdbA_0002_0001
SCORE:,928.649,-995.636,884.563,535.595,2.139,-57.312,59.788,-59.672,-28.376,-17.124,-2.834,0.000,-6.019,68.399,560.652,-12.818,-2.696,0.782,0.992,0.972,0.992,0.996,1.000,1.000,0.000,254.000,254.000,0.563,3GZJ.trim.pdbA_0001_0001
SCORE:,705.652,-983.028,654.276,536.343,2.082,-55.583,59.788,-58.753,-28.376,-16.642,-3.532,0.000,-7.320,66.859,557.136,-12.877,-4.722,0.705,0.997,0.984,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.395,3GZJ.trim.pdbA_0002_0001
SCORE:,272.740,-982.752,212.369,535.901,2.068,-61.055,59.788,-56.628,-29.731,-16.651,-4.245,0.000,-4.601,78.534,553.358,-10.012,-3.603,0.831,0.994,0.976,0.992,1.000,1.000,1.000,0.000,254.000,254.000,0.552,3GZJ.trim.pdbA_0001_0001
SCORE:,264.012,-986.770,212.677,533.190,2.110,-59.989,59.788,-57.951,-28.376,-16.762,-3.632,0.000,-6.827,75.531,556.560,-12.572,-2.965,0.565,0.998,0.988,1.000,1.000,1.000,1.000,0.000,254.000,254.000,0.329,3GZJ.trim.pdbA_0002_0001
