SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,irms,rms,description
SCORE:,3668.505,-1244.827,3753.053,665.331,3.084,-90.809,9.160,-88.680,-39.793,-23.908,-23.927,0.000,-7.178,41.195,704.650,-10.668,21.822,0.000,6.922,3B12.trim.pdbA_0001_0001
SCORE:,5047.918,-1238.597,5068.778,666.390,4.361,-88.446,8.420,-88.253,-39.936,-23.128,-23.733,0.000,-9.623,56.957,746.689,-14.001,22.042,0.000,6.890,3B12.trim.pdbA_0002_0001
SCORE:,5980.199,-1261.738,6067.985,680.192,4.215,-88.903,8.420,-89.823,-39.666,-22.427,-23.546,0.000,-7.850,51.236,691.338,-9.897,20.664,0.000,6.847,3B12.trim.pdbA_0001_0001
SCORE:,2328.234,-1245.533,2362.270,665.569,3.686,-86.577,8.659,-88.216,-40.117,-23.084,-23.397,0.000,-8.928,56.147,736.537,-11.521,22.739,0.000,6.895,3B12.trim.pdbA_0002_0001
SCORE:,2339.638,-1249.506,2448.968,671.919,3.291,-87.590,8.420,-89.472,-39.521,-23.278,-23.766,0.000,-9.917,54.552,665.921,-12.574,22.191,0.000,6.868,3B12.trim.pdbA_0001_0001
SCORE:,7158.432,-1252.909,7242.553,674.167,4.256,-91.487,8.420,-88.404,-40.770,-23.348,-23.799,0.000,-6.395,66.987,675.925,-8.970,22.205,0.000,6.940,3B12.trim.pdbA_0002_0001
SCORE:,4709.072,-1267.121,4854.501,675.959,4.219,-88.279,9.531,-91.381,-39.752,-22.560,-23.499,0.000,-6.693,41.217,649.677,-8.234,21.487,0.000,6.836,3B12.trim.pdbA_0001_0001
SCORE:,4829.433,-1257.289,4925.573,674.439,3.768,-88.494,9.578,-89.716,-39.957,-23.217,-23.477,0.000,-6.927,45.472,692.103,-14.173,21.751,0.000,6.863,3B12.trim.pdbA_0002_0001
SCORE:,5725.555,-1268.173,5908.283,674.534,2.793,-88.155,8.645,-88.402,-39.601,-22.463,-23.579,0.000,-10.344,51.173,614.512,-13.739,20.071,0.000,6.853,3B12.trim.pdbA_0001_0001
SCORE:,4745.969,-1258.030,4968.747,675.525,3.434,-89.771,8.420,-89.839,-39.951,-23.632,-23.466,0.000,-8.254,44.205,571.189,-12.918,20.310,0.000,6.937,3B12.trim.pdbA_0002_0001
SCORE:,-203.229,-1244.413,211.870,676.421,2.183,-96.260,8.794,-91.255,-40.607,-23.151,-24.888,0.000,-12.384,60.233,383.088,-19.930,7.071,0.000,6.875,3B12.trim.pdbA_0001_0001
SCORE:,2905.390,-1240.266,2923.770,669.373,4.197,-89.108,8.420,-88.216,-39.109,-23.382,-23.900,0.000,-8.357,43.291,756.350,-10.943,23.269,0.000,6.918,3B12.trim.pdbA_0002_0001
SCORE:,3345.506,-1247.537,3448.873,675.725,4.192,-86.407,8.420,-89.285,-39.112,-23.582,-23.552,0.000,-8.094,49.369,667.048,-11.546,20.994,0.000,6.911,3B12.trim.pdbA_0001_0001
SCORE:,3184.095,-1247.101,3206.466,670.099,3.842,-91.108,8.420,-89.365,-40.127,-23.148,-23.786,0.000,-10.333,45.923,766.295,-15.098,23.117,0.000,6.852,3B12.trim.pdbA_0002_0001
SCORE:,1829.629,-1240.621,1915.252,669.676,3.015,-88.653,8.420,-88.216,-39.914,-23.833,-23.611,0.000,-9.931,68.348,671.063,-12.919,21.552,0.000,6.937,3B12.trim.pdbA_0001_0001
SCORE:,13076.824,-1292.021,13051.862,690.851,3.137,-89.690,8.420,-88.216,-39.397,-23.398,-23.686,0.000,-11.090,43.769,832.709,-12.077,25.650,0.000,7.247,3B12.trim.pdbA_0002_0001
SCORE:,2062.039,-1255.559,2110.009,668.170,4.736,-88.980,8.995,-89.159,-39.902,-23.500,-23.344,0.000,-7.790,61.895,726.788,-11.491,21.172,0.000,6.904,3B12.trim.pdbA_0001_0001
SCORE:,5157.795,-1253.808,5314.944,672.970,3.533,-84.783,8.420,-91.532,-39.471,-23.209,-23.418,0.000,-4.411,54.970,610.012,-8.018,21.596,0.000,6.865,3B12.trim.pdbA_0002_0001
SCORE:,-213.252,-1238.530,209.575,678.592,2.178,-98.121,8.420,-88.216,-40.992,-25.013,-25.997,0.000,-11.725,45.400,382.620,-19.674,8.230,0.000,6.877,3B12.trim.pdbA_0001_0001
SCORE:,2963.744,-1245.092,3018.664,666.671,3.822,-86.553,9.259,-88.216,-39.116,-23.163,-23.525,0.000,-8.672,41.370,727.303,-11.158,22.149,0.000,6.916,3B12.trim.pdbA_0002_0001
