SCORE:,score,fa_atr,fa_rep,fa_sol,fa_intra_rep,fa_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,rama,omega,fa_dun,p_aa_pp,ref,allatom_rms,gdtmm,gdtmm1_1,gdtmm2_2,gdtmm3_3,gdtmm4_3,gdtmm7_4,irms,maxsub,maxsub2.0,rms,description
SCORE:,1938.142,-1062.435,2006.991,590.713,2.589,-75.750,81.079,-76.312,-38.154,-22.275,-13.112,0.000,-10.338,71.125,494.617,-20.855,10.260,2.538,0.954,0.936,0.943,0.950,0.954,0.986,0.000,278.000,275.000,2.481,2WUF.trim.pdbA_0001_0001
SCORE:,22379.111,-1132.986,22127.717,605.878,3.298,-73.437,75.750,-75.659,-37.261,-22.253,-12.791,0.000,-11.160,71.110,854.467,-15.349,21.787,2.834,0.951,0.940,0.947,0.947,0.954,0.968,0.000,273.000,273.000,2.583,2WUF.trim.pdbA_0002_0001
SCORE:,1174.344,-1060.035,1246.874,590.519,2.588,-72.536,75.555,-76.477,-37.261,-22.223,-12.948,0.000,-6.563,61.629,490.193,-17.172,12.200,2.597,0.953,0.936,0.943,0.943,0.957,0.986,0.000,278.000,275.000,2.528,2WUF.trim.pdbA_0001_0001
SCORE:,15054.012,-1105.997,14768.247,592.780,3.298,-72.042,75.750,-75.659,-37.261,-22.090,-12.719,0.000,-12.647,75.536,872.287,-17.259,21.787,3.314,0.945,0.936,0.943,0.943,0.947,0.957,0.000,270.000,270.000,3.001,2WUF.trim.pdbA_0002_0001
SCORE:,20394.006,-1119.562,20113.996,600.188,3.298,-73.218,75.750,-75.659,-37.261,-22.146,-12.775,0.000,-11.252,92.659,855.164,-16.963,21.787,3.060,0.949,0.940,0.947,0.947,0.950,0.961,0.000,271.000,271.000,2.826,2WUF.trim.pdbA_0001_0001
SCORE:,773.406,-1056.613,795.574,585.711,2.590,-70.953,119.700,-75.659,-38.087,-22.607,-12.891,0.000,-8.295,68.781,493.961,-17.359,9.555,2.434,0.955,0.936,0.947,0.943,0.965,0.982,0.000,277.000,276.000,2.383,2WUF.trim.pdbA_0002_0001
SCORE:,17388.837,-1116.820,17143.654,597.020,3.298,-71.550,75.750,-75.659,-37.261,-22.090,-12.719,0.000,-10.902,77.749,832.436,-15.856,21.787,3.380,0.946,0.936,0.943,0.943,0.947,0.961,0.000,271.000,271.000,3.035,2WUF.trim.pdbA_0001_0001
SCORE:,8075.802,-1073.573,7803.777,581.784,3.298,-72.282,75.750,-75.659,-37.261,-22.070,-12.662,0.000,-11.740,83.170,828.272,-16.788,21.787,3.603,0.945,0.936,0.943,0.943,0.947,0.957,0.000,270.000,270.000,3.299,2WUF.trim.pdbA_0002_0001
SCORE:,761.992,-1059.998,818.203,589.271,2.626,-72.179,75.715,-75.659,-37.445,-22.718,-12.768,0.000,-8.852,72.888,501.789,-15.974,7.093,2.670,0.953,0.936,0.943,0.943,0.957,0.986,0.000,278.000,273.000,2.541,2WUF.trim.pdbA_0001_0001
SCORE:,4754.315,-1067.403,4779.140,593.774,2.652,-71.675,94.670,-75.852,-37.261,-23.517,-13.147,0.000,-10.372,98.124,498.026,-20.176,7.330,2.662,0.949,0.936,0.943,0.943,0.950,0.972,0.000,274.000,271.000,2.545,2WUF.trim.pdbA_0002_0001
