dir,dist1,dist2
2WUFbot.pdb_1WM1cap.pdb,13.2375750801,22.2301245386
2WUFbot.pdb_1WM1cap.pdb,19.2955694656,22.2296389084
2WUFbot.pdb_1WM1cap.pdb,18.0573231959,22.2304671341
2WUFbot.pdb_1WM1cap.pdb,22.1448318124,22.2302403271
2WUFbot.pdb_1WM1cap.pdb,22.3272361926,22.229365398
2WUFbot.pdb_1WM1cap.pdb,17.9387028795,22.2294843845
2WUFbot.pdb_1WM1cap.pdb,17.1669541562,22.2292815224
2WUFbot.pdb_1WM1cap.pdb,13.2930216655,22.2286421538
2WUFbot.pdb_1WM1cap.pdb,11.2564514391,22.2303853543
2WUFbot.pdb_1WM1cap.pdb,18.437246161,22.2294185934
2WUFbot.pdb_1WM1cap.pdb,29.429139318,22.229992915
2WUFbot.pdb_1WM1cap.pdb,17.1336190281,22.2306625632
2WUFbot.pdb_1WM1cap.pdb,32.2658960204,22.2303499298
2WUFbot.pdb_1WM1cap.pdb,20.0972814579,22.2303909322
2WUFbot.pdb_1WM1cap.pdb,17.3532788256,22.229916599
2WUFbot.pdb_1WM1cap.pdb,22.5349971822,22.230072627
2WUFbot.pdb_1WM1cap.pdb,17.9058768565,22.2292075882
2WUFbot.pdb_1WM1cap.pdb,26.9300649089,22.2299293296
2WUFbot.pdb_1WM1cap.pdb,15.319074711,22.2302815547
2WUFbot.pdb_1WM1cap.pdb,9.71690285019,22.2298232562
2WUFbot.pdb_1WM1cap.pdb,28.5650789251,22.2294049853
2WUFbot.pdb_1WM1cap.pdb,19.471745325,22.2298700176
2WUFbot.pdb_1WM1cap.pdb,9.56165262912,22.2294047604
2WUFbot.pdb_1WM1cap.pdb,27.8075065225,22.2300242015
2WUFbot.pdb_1WM1cap.pdb,13.9764268323,22.2303012575
2WUFbot.pdb_1WM1cap.pdb,20.41038226,22.2304432929
2WUFbot.pdb_1WM1cap.pdb,22.4604989036,22.2289773944
2WUFbot.pdb_1WM1cap.pdb,20.0825691832,22.2299015517
2WUFbot.pdb_1WM1cap.pdb,16.8237965394,22.2298876515
2WUFbot.pdb_1WM1cap.pdb,15.0563816038,22.2293285774
2WUFbot.pdb_1WM1cap.pdb,20.0105174596,22.2295490508
2WUFbot.pdb_1WM1cap.pdb,15.6827453273,22.2298764054
2WUFbot.pdb_1WM1cap.pdb,17.7667352375,22.2301000448
2WUFbot.pdb_1WM1cap.pdb,18.6334857984,22.2290155652
2WUFbot.pdb_1WM1cap.pdb,16.6880159396,22.2294404788
2WUFbot.pdb_1WM1cap.pdb,13.5642348107,22.2293569408
2WUFbot.pdb_1WM1cap.pdb,21.2121118703,22.2302811723
2WUFbot.pdb_1WM1cap.pdb,12.9337666981,22.2301910023
2WUFbot.pdb_1WM1cap.pdb,16.4789996662,22.2295807653
2WUFbot.pdb_1WM1cap.pdb,30.6734356406,22.2297883256
2WUFbot.pdb_1WM1cap.pdb,32.6641078556,22.2295234542
2WUFbot.pdb_1WM1cap.pdb,14.7664527223,22.2303358949
2WUFbot.pdb_1WM1cap.pdb,22.6110063022,22.2302027656
2WUFbot.pdb_1WM1cap.pdb,18.4083988983,22.2304443725
2WUFbot.pdb_1WM1cap.pdb,8.55537427586,22.2304279086
2WUFbot.pdb_1WM1cap.pdb,22.1829269034,22.2298504044
2WUFbot.pdb_1WM1cap.pdb,24.8152007649,22.2293013835
2WUFbot.pdb_1WM1cap.pdb,29.4436254731,22.2300576023
2WUFbot.pdb_1WM1cap.pdb,18.008508961,22.229476602
2WUFbot.pdb_1WM1cap.pdb,19.7765953086,22.2298435667
